Time,Subsystem 106,Subsystem 107
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,0.000000,0.000000
24,0.000000,0.000000
25,0.000000,0.000000
26,0.000000,0.000000
27,0.000000,0.000000
28,0.000000,0.000000
29,0.000000,0.000000
30,0.000000,0.000000
31,0.000000,0.000000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.000000,0.000000
35,0.000000,0.000000
36,0.000000,0.000000
37,0.000000,0.000000
38,0.000000,0.000000
39,0.000000,0.000000
40,0.000000,0.000000
41,0.000000,0.000000
42,0.000000,0.000000
43,0.000000,0.000000
44,0.000000,0.000000
45,0.000000,0.000000
46,0.000000,0.000000
47,0.000000,0.000000
48,0.000000,0.000000
49,0.000000,0.000540
50,0.000000,0.000540
51,0.000000,0.000540
52,0.000000,0.000540
53,0.000000,0.000540
54,0.000000,0.001080
55,0.000000,0.001080
56,0.000000,0.001080
57,0.000000,0.001080
58,0.000000,0.001620
59,0.000000,0.001620
60,0.000000,0.001620
61,0.000000,0.001620
62,0.000000,0.001620
63,0.000000,0.001620
64,0.000000,0.001080
65,0.000000,0.001080
66,0.000000,0.001080
67,0.000000,0.002701
68,0.000000,0.002160
69,0.000000,0.002160
70,0.000000,0.001620
71,0.000000,0.002160
72,0.000000,0.001620
73,0.000000,0.001620
74,0.000000,0.003241
75,0.000000,0.003781
76,0.000000,0.003241
77,0.000000,0.003781
78,0.000000,0.004321
79,0.000000,0.005401
80,0.000000,0.007022
81,0.000000,0.007832
82,0.000000,0.010262
83,0.000000,0.012693
84,0.000000,0.014853
85,0.000000,0.015664
86,0.000000,0.017824
87,0.000000,0.019985
88,0.000000,0.021065
89,0.000000,0.023225
90,0.000000,0.025656
91,0.000000,0.027816
92,0.000000,0.029707
93,0.000000,0.031327
94,0.000000,0.033488
95,0.000000,0.036188
96,0.000000,0.038619
97,0.000000,0.040779
98,0.000000,0.044020
99,0.000000,0.047261
100,0.000000,0.050502
101,0.000000,0.053742
102,0.000000,0.056983
103,0.000000,0.060764
104,0.000000,0.064275
105,0.000000,0.068326
106,0.000000,0.072647
107,0.000000,0.077508
108,0.000000,0.082369
109,0.000000,0.087230
110,0.000000,0.092091
111,0.000000,0.096952
112,0.000000,0.102353
113,0.000000,0.108565
114,0.000000,0.113426
115,0.000000,0.118827
116,0.000000,0.124498
117,0.000000,0.129630
118,0.000000,0.133951
119,0.000000,0.137731
120,0.000000,0.141242
121,0.000000,0.145563
122,0.000000,0.149884
123,0.000000,0.152315
124,0.000000,0.154745
125,0.000000,0.158526
126,0.000000,0.162037
127,0.000000,0.165008
128,0.000000,0.167438
129,0.000000,0.168519
130,0.000000,0.170949
131,0.000000,0.172840
132,0.000000,0.174730
133,0.000000,0.175270
134,0.000000,0.177160
135,0.000000,0.179051
136,0.000000,0.180671
137,0.000000,0.181752
138,0.000000,0.183642
139,0.000000,0.185532
140,0.000000,0.188503
141,0.000000,0.190934
142,0.000000,0.195255
143,0.000000,0.199035
144,0.000000,0.203356
145,0.000000,0.208218
146,0.000000,0.214429
147,0.000000,0.220370
148,0.000000,0.227932
149,0.000000,0.235224
150,0.000000,0.241705
151,0.000000,0.250077
152,0.000000,0.258719
153,0.000000,0.267361
154,0.000000,0.276003
155,0.000000,0.284645
156,0.000000,0.292747
157,0.000000,0.300309
158,0.000000,0.309491
159,0.000000,0.317863
160,0.000000,0.326235
161,0.000000,0.334066
162,0.000000,0.342708
163,0.000000,0.350810
164,0.000000,0.359182
165,0.000000,0.367284
166,0.000000,0.375116
167,0.000000,0.382948
168,0.000000,0.389969
169,0.000000,0.334066
170,0.000000,0.287076
171,0.000000,0.246566
172,0.000000,0.213079
173,0.000000,0.184992
174,0.000000,0.160687
175,0.000000,0.139892
176,0.000000,0.122068
177,0.000000,0.107755
178,0.000000,0.094792
179,0.000000,0.084529
180,0.000000,0.075617
181,0.000000,0.067785
182,0.000000,0.060494
183,0.000000,0.054012
184,0.000000,0.048881
185,0.000000,0.043750
186,0.000000,0.039159
187,0.000000,0.035918
188,0.000000,0.032407
189,0.000000,0.029707
190,0.000000,0.027276
191,0.000000,0.029167
192,0.000000,0.031057
193,0.000000,0.032407
194,0.000000,0.033218
195,0.000000,0.034028
196,0.000000,0.035108
197,0.000000,0.036188
198,0.000000,0.037269
199,0.000000,0.038349
200,0.000000,0.039429
201,0.000000,0.041049
202,0.000000,0.042400
203,0.000000,0.044830
204,0.000000,0.046991
205,0.000000,0.049691
206,0.000000,0.053742
207,0.000000,0.058063
208,0.000000,0.061304
209,0.000000,0.066435
210,0.000000,0.070486
211,0.000000,0.075077
212,0.000000,0.080478
213,0.000000,0.086150
214,0.000000,0.090741
215,0.000000,0.095872
216,0.000000,0.101003
217,0.000000,0.105324
218,0.000000,0.110185
219,0.000000,0.114236
220,0.000000,0.118287
221,0.000000,0.121798
222,0.000000,0.126659
223,0.000000,0.131250
224,0.000000,0.134761
225,0.000000,0.138272
226,0.000000,0.141512
227,0.000540,0.145023
228,0.000540,0.148264
229,0.000540,0.151775
230,0.000540,0.155015
231,0.000540,0.158256
232,0.000540,0.161497
233,0.000540,0.165278
234,0.000540,0.168519
235,0.000540,0.171759
236,0.000540,0.175270
237,0.000540,0.178781
238,0.000540,0.182292
239,0.000540,0.185802
240,0.000540,0.189583
241,0.000540,0.193364
242,0.000540,0.197145
243,0.000540,0.200926
244,0.000540,0.204437
245,0.000540,0.208218
246,0.000540,0.211998
247,0.000540,0.215779
248,0.000540,0.219560
249,0.000540,0.223341
