Time,Subsystem 1,Subsystem 7,Subsystem 8
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000514,0.000000,0.000000
5,0.000514,0.000000,0.000000
6,0.000514,0.000823,0.000000
7,0.000514,0.000823,0.000514
8,0.001029,0.000823,0.000514
9,0.001029,0.000823,0.000514
10,0.001029,0.001646,0.001029
11,0.001543,0.001646,0.001029
12,0.001543,0.002469,0.001029
13,0.002058,0.002469,0.001543
14,0.001543,0.003292,0.001543
15,0.002058,0.002469,0.002058
16,0.002058,0.003292,0.001543
17,0.002572,0.003292,0.002058
18,0.002572,0.004115,0.002572
19,0.002572,0.004938,0.002572
20,0.003086,0.004115,0.002572
21,0.003086,0.004938,0.003086
22,0.003086,0.005761,0.003086
23,0.003601,0.004938,0.003086
24,0.003601,0.005761,0.003601
25,0.003601,0.006584,0.003601
26,0.004115,0.005761,0.003601
27,0.004115,0.006584,0.004115
28,0.004115,0.007407,0.004115
29,0.004630,0.006584,0.004115
30,0.004115,0.007407,0.004630
31,0.004630,0.007407,0.004115
32,0.004630,0.008230,0.004630
33,0.005144,0.008230,0.004630
34,0.005144,0.009053,0.005144
35,0.005658,0.009053,0.005144
36,0.005658,0.009877,0.005658
37,0.006173,0.009877,0.005658
38,0.006173,0.010700,0.006173
39,0.006687,0.010700,0.006173
40,0.006687,0.011523,0.006687
41,0.007202,0.011523,0.006687
42,0.007202,0.012346,0.007202
43,0.007716,0.011626,0.007202
44,0.007716,0.012346,0.007716
45,0.008230,0.013169,0.007716
46,0.008745,0.013992,0.008230
47,0.009259,0.014815,0.008745
48,0.009774,0.015741,0.009259
49,0.010288,0.016564,0.009774
50,0.010802,0.017387,0.010288
51,0.011317,0.018210,0.010802
52,0.011831,0.019136,0.011317
53,0.012346,0.019959,0.011831
54,0.012860,0.020885,0.012346
55,0.013374,0.021708,0.012860
56,0.013889,0.022634,0.013374
57,0.014403,0.023457,0.013889
58,0.014918,0.024383,0.014403
59,0.015432,0.025309,0.014918
60,0.015947,0.026132,0.015432
61,0.016461,0.026955,0.015947
62,0.016975,0.027778,0.016461
63,0.017387,0.028704,0.016975
64,0.018004,0.029527,0.017490
65,0.018519,0.030453,0.018004
66,0.019033,0.031379,0.018519
67,0.019547,0.032305,0.019033
68,0.020062,0.033230,0.019547
69,0.020576,0.034053,0.020062
70,0.021091,0.035185,0.020576
71,0.021605,0.036214,0.021193
72,0.022119,0.037140,0.021708
73,0.022634,0.037963,0.022222
74,0.023148,0.038786,0.022737
75,0.024074,0.039609,0.023251
76,0.025000,0.040432,0.023765
77,0.025514,0.041255,0.024280
78,0.026440,0.042078,0.024794
79,0.026955,0.042901,0.025309
80,0.027881,0.043724,0.025823
81,0.028807,0.044547,0.026337
82,0.029733,0.045370,0.026852
83,0.030658,0.046193,0.027366
84,0.031173,0.047119,0.027881
85,0.032099,0.047942,0.028395
86,0.033230,0.048765,0.028909
87,0.034156,0.049691,0.029424
88,0.035082,0.050617,0.029938
89,0.036008,0.051440,0.030453
90,0.036523,0.052263,0.031070
91,0.037449,0.053189,0.031584
92,0.038374,0.054115,0.032099
93,0.039403,0.054938,0.032613
94,0.040329,0.055864,0.033128
95,0.041255,0.056790,0.033642
96,0.042181,0.057716,0.034259
97,0.042695,0.059156,0.034774
98,0.043724,0.060082,0.035288
99,0.044650,0.061008,0.035905
100,0.045679,0.061934,0.036420
101,0.046605,0.062860,0.037037
102,0.048045,0.063786,0.037551
103,0.048971,0.065021,0.038169
104,0.050309,0.066152,0.038683
105,0.051337,0.067490,0.039198
106,0.052675,0.068621,0.039712
107,0.053704,0.069753,0.040432
108,0.055041,0.070885,0.040947
109,0.056481,0.071811,0.041564
110,0.057510,0.073045,0.042078
111,0.058436,0.074383,0.042695
112,0.059362,0.075514,0.043210
113,0.060905,0.076440,0.043724
114,0.062551,0.077263,0.044239
115,0.063477,0.078704,0.044753
116,0.064506,0.080144,0.045267
117,0.066152,0.080967,0.045782
118,0.067387,0.082099,0.046296
119,0.068313,0.083539,0.046811
120,0.069239,0.084979,0.047325
121,0.065741,0.080144,0.044959
122,0.062860,0.076337,0.042798
123,0.059979,0.073148,0.040741
124,0.057510,0.069856,0.038786
125,0.055556,0.066461,0.037037
126,0.052984,0.063889,0.035494
127,0.050720,0.061420,0.033951
128,0.049177,0.058539,0.032407
129,0.047222,0.056379,0.030864
130,0.045679,0.053292,0.029835
131,0.044033,0.050926,0.028807
132,0.042284,0.049280,0.027778
133,0.040947,0.047428,0.026749
134,0.039712,0.045679,0.025720
135,0.038580,0.044033,0.024691
136,0.037140,0.042181,0.024177
137,0.035391,0.041255,0.023663
138,0.034156,0.040226,0.023148
139,0.033436,0.038580,0.022634
140,0.032305,0.037346,0.022119
141,0.031379,0.036420,0.021605
142,0.030658,0.035597,0.021091
143,0.029835,0.034774,0.020576
144,0.029321,0.033128,0.020062
145,0.028292,0.032305,0.019547
146,0.027778,0.031481,0.019033
147,0.027160,0.030864,0.018519
148,0.026852,0.029938,0.018004
149,0.026132,0.029424,0.017490
150,0.025720,0.028807,0.016461
151,0.025617,0.027469,0.016461
152,0.024691,0.027160,0.016461
153,0.024177,0.026852,0.016461
154,0.023868,0.026235,0.016461
155,0.023457,0.025617,0.016461
156,0.022840,0.025309,0.016461
157,0.022531,0.024691,0.016461
158,0.022016,0.024074,0.016461
159,0.021502,0.023765,0.016461
160,0.021296,0.023148,0.016461
161,0.020885,0.023148,0.016461
162,0.020370,0.022840,0.016461
163,0.020165,0.022531,0.016461
164,0.019959,0.022222,0.016461
165,0.019753,0.021914,0.016461
166,0.020473,0.022737,0.016975
167,0.021399,0.023560,0.017490
168,0.022428,0.024383,0.018004
169,0.022942,0.025206,0.018519
170,0.023457,0.026029,0.019033
171,0.024280,0.026852,0.019547
172,0.024794,0.027675,0.020062
173,0.025720,0.028498,0.020576
174,0.026749,0.029321,0.021091
175,0.027675,0.030144,0.021605
176,0.028189,0.030967,0.022119
177,0.029012,0.031790,0.022634
178,0.029527,0.033436,0.023663
179,0.030864,0.035082,0.024177
180,0.032202,0.035905,0.025206
181,0.033539,0.037551,0.026235
182,0.034979,0.039198,0.027263
183,0.036317,0.040844,0.028292
184,0.037654,0.042490,0.029321
185,0.039300,0.044136,0.030350
186,0.040947,0.046605,0.031379
187,0.043621,0.048045,0.032305
188,0.046091,0.050103,0.033128
189,0.048663,0.052366,0.033642
190,0.050823,0.054835,0.034465
191,0.053292,0.057099,0.034877
192,0.055864,0.058951,0.035802
193,0.057922,0.061420,0.036728
194,0.060494,0.063992,0.037037
195,0.063066,0.065947,0.038066
196,0.065123,0.068416,0.038992
197,0.067181,0.070679,0.039815
198,0.069753,0.073148,0.040329
199,0.071811,0.075617,0.041152
200,0.074280,0.077984,0.041975
201,0.076132,0.080556,0.042901
202,0.079115,0.082407,0.043210
203,0.080864,0.085288,0.044136
204,0.083539,0.087551,0.044959
205,0.085288,0.090741,0.045782
206,0.087140,0.094444,0.046296
207,0.090329,0.096399,0.046811
208,0.094342,0.097942,0.047325
209,0.097428,0.100514,0.047840
210,0.101440,0.101955,0.048354
211,0.103395,0.105350,0.049383
212,0.107407,0.107099,0.049897
213,0.110391,0.109156,0.050412
214,0.113889,0.111831,0.050926
