Time,Subsystem 0,Subsystem 1,Subsystem 2,Subsystem 3,Subsystem 4,Subsystem 5,Subsystem 6,Subsystem 7,Subsystem 8,Subsystem 9,Subsystem 10,Subsystem 11,Subsystem 12,Subsystem 13,Subsystem 14,Subsystem 15,Subsystem 16,Subsystem 17,Subsystem 18,Subsystem 19,Subsystem 20,Subsystem 21,Subsystem 22,Subsystem 23,Subsystem 24,Subsystem 25,Subsystem 26,Subsystem 27,Subsystem 28,Subsystem 29,Subsystem 30,Subsystem 31,Subsystem 32,Subsystem 33,Subsystem 34,Subsystem 35,Subsystem 36,Subsystem 37,Subsystem 38,Subsystem 39,Subsystem 40,Subsystem 41,Subsystem 42,Subsystem 43,Subsystem 44,Subsystem 45,Subsystem 46,Subsystem 47,Subsystem 48,Subsystem 49,Subsystem 50,Subsystem 51,Subsystem 52,Subsystem 53,Subsystem 54,Subsystem 55,Subsystem 56,Subsystem 57,Subsystem 58,Subsystem 59,Subsystem 60,Subsystem 61,Subsystem 62,Subsystem 63,Subsystem 64,Subsystem 65,Subsystem 66,Subsystem 67,Subsystem 68,Subsystem 69,Subsystem 70,Subsystem 71,Subsystem 72,Subsystem 73,Subsystem 74,Subsystem 75,Subsystem 76,Subsystem 77,Subsystem 78,Subsystem 79,Subsystem 80,Subsystem 81,Subsystem 82,Subsystem 83,Subsystem 84,Subsystem 85,Subsystem 86,Subsystem 87,Subsystem 88,Subsystem 89,Subsystem 90,Subsystem 91,Subsystem 92,Subsystem 93,Subsystem 94,Subsystem 95,Subsystem 96,Subsystem 97,Subsystem 98,Subsystem 99,Subsystem 100,Subsystem 101,Subsystem 102,Subsystem 103,Subsystem 104,Subsystem 105,Subsystem 106,Subsystem 107,Subsystem 108,Subsystem 109,Subsystem 110,Subsystem 111,Subsystem 112,Subsystem 113,Subsystem 114,Subsystem 115,Subsystem 116,Subsystem 117,Subsystem 118,Subsystem 119,Subsystem 120,Subsystem 121,Subsystem 122,Subsystem 123,Subsystem 124,Subsystem 125,Subsystem 126,Subsystem 127,Subsystem 128,Subsystem 129,Subsystem 130,Subsystem 131,Subsystem 132,Subsystem 133,Subsystem 134,Subsystem 135,Subsystem 136
1,0.013143,0.000000,0.004861,0.000000,0.011523,0.000000,0.021785,0.000000,0.000000,0.000000,0.000000,0.001852,0.000000,0.000000,0.000288,0.006049,0.000000,0.000000,0.024486,0.000000,0.002946,0.003704,0.000000,0.000000,0.000000,0.000000,0.004714,0.000000,0.007382,0.000000,0.000000,0.000000,0.000000,0.000670,0.000000,0.001713,0.000000,0.000000,0.000000,0.001872,0.000000,0.003745,0.000000,0.000000,0.009362,0.000000,0.002377,0.002570,0.001117,0.000000,0.003704,0.000000,0.001296,0.000000,0.004023,0.000000,0.002377,0.000000,0.015123,0.000000,0.000000,0.000000,0.000000,0.002160,0.000000,0.000000,0.000000,0.005941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013503,0.000000,0.003673,0.005941,0.000000,0.000000,0.000000,0.002431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003673,0.003241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037809,0.000000,0.000720,0.000000,0.000000,0.002521,0.000000,0.000000,0.053292,0.000000,0.000000,0.010442,0.000000,0.000000,0.000000,0.008462,0.000000,0.000000,0.000000
2,0.027006,0.000000,0.009902,0.000000,0.026466,0.000000,0.042310,0.000000,0.000000,0.000000,0.000000,0.003704,0.000000,0.000000,0.000720,0.012387,0.000000,0.000000,0.048971,0.000000,0.006187,0.007510,0.000000,0.000000,0.000000,0.000000,0.012079,0.000000,0.014043,0.000000,0.000000,0.000000,0.000000,0.002123,0.000000,0.003352,0.000000,0.000000,0.000000,0.003889,0.000000,0.007634,0.000000,0.000000,0.018004,0.000000,0.004645,0.005811,0.002347,0.000000,0.007407,0.000000,0.002593,0.000216,0.008716,0.000000,0.006157,0.000000,0.029887,0.000000,0.000000,0.000000,0.000000,0.004861,0.000000,0.000000,0.000000,0.011073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027366,0.000000,0.007130,0.012693,0.000000,0.000000,0.000000,0.005671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006914,0.006481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074897,0.000000,0.002701,0.000000,0.000000,0.006121,0.000000,0.000000,0.101183,0.000000,0.000000,0.019805,0.000000,0.000000,0.000000,0.018724,0.000000,0.000000,0.000000
3,0.038709,0.000000,0.013683,0.000000,0.041950,0.000000,0.064095,0.000000,0.000000,0.000000,0.000000,0.005556,0.000000,0.000000,0.001152,0.018724,0.000000,0.000000,0.070396,0.000000,0.009428,0.011420,0.000000,0.000000,0.000000,0.000000,0.019248,0.000000,0.021425,0.000000,0.000000,0.000000,0.000000,0.003576,0.000000,0.004991,0.000000,0.000000,0.000000,0.005617,0.000000,0.011523,0.000000,0.000000,0.025926,0.000000,0.007022,0.007934,0.003464,0.000000,0.009259,0.000000,0.003889,0.000216,0.012628,0.000000,0.009290,0.000000,0.045910,0.000000,0.000000,0.000000,0.000000,0.007562,0.000000,0.000000,0.000000,0.015664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041770,0.000000,0.010802,0.017284,0.000000,0.000000,0.000000,0.008372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010154,0.009722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001440,0.000000,0.000000,0.000000,0.097222,0.000000,0.004501,0.000000,0.000000,0.007922,0.000000,0.000000,0.136471,0.000000,0.000000,0.029527,0.000000,0.000000,0.000000,0.025566,0.000000,0.000000,0.000000
4,0.049511,0.000000,0.018724,0.000000,0.050051,0.000000,0.085880,0.000000,0.000154,0.000000,0.000000,0.006893,0.000000,0.000000,0.001440,0.025062,0.000000,0.000000,0.089841,0.000000,0.012668,0.015329,0.000000,0.000000,0.000000,0.000000,0.025828,0.000000,0.025206,0.000000,0.000000,0.000000,0.000000,0.005029,0.000000,0.006556,0.000000,0.000000,0.000000,0.007202,0.000000,0.015412,0.000000,0.000000,0.033128,0.000000,0.009398,0.011175,0.004693,0.000000,0.012963,0.000000,0.005185,0.000432,0.016539,0.000000,0.012423,0.000108,0.059053,0.000000,0.000000,0.000360,0.000000,0.009722,0.000000,0.000000,0.000000,0.021605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057073,0.000000,0.012963,0.024035,0.000000,0.000000,0.000000,0.011613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013827,0.012963,0.000216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006481,0.000000,0.000000,0.000000,0.114146,0.000000,0.006121,0.000000,0.000000,0.010802,0.000000,0.000000,0.162757,0.000000,0.000000,0.039969,0.000000,0.000000,0.000000,0.032767,0.000270,0.000000,0.000000
5,0.061034,0.000000,0.021425,0.000000,0.061934,0.000000,0.087140,0.000000,0.000154,0.000000,0.000000,0.008745,0.000000,0.000000,0.001872,0.031399,0.000000,0.000000,0.114326,0.000000,0.015909,0.017181,0.000000,0.000000,0.000000,0.000000,0.032800,0.000000,0.030247,0.000000,0.000000,0.000000,0.000000,0.005811,0.000000,0.008120,0.000000,0.000000,0.000000,0.009074,0.000000,0.019300,0.000000,0.000000,0.039429,0.000000,0.010586,0.012628,0.005476,0.000000,0.012963,0.000000,0.005833,0.000432,0.020450,0.000000,0.015556,0.000108,0.069316,0.000000,0.000000,0.000360,0.000000,0.011883,0.000360,0.000000,0.000000,0.021065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062834,0.000000,0.016636,0.026196,0.000000,0.000000,0.000000,0.013503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014475,0.012963,0.004321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014403,0.000000,0.002881,0.000000,0.127829,0.000000,0.007922,0.000000,0.001440,0.013323,0.000000,0.000000,0.191204,0.000000,0.000000,0.043750,0.000000,0.000000,0.000000,0.038889,0.000270,0.000000,0.000000
6,0.069676,0.000000,0.025026,0.000000,0.072917,0.000000,0.107665,0.000000,0.000309,0.000000,0.000412,0.009774,0.000000,0.000000,0.002160,0.031399,0.000000,0.000000,0.119367,0.000000,0.016498,0.020885,0.000000,0.000000,0.000000,0.000000,0.040362,0.000000,0.036188,0.000000,0.000000,0.000000,0.000000,0.007264,0.000000,0.009685,0.000000,0.000309,0.000000,0.010370,0.000000,0.019300,0.000000,0.000000,0.044650,0.000000,0.012531,0.015868,0.006593,0.000000,0.014815,0.000000,0.007130,0.000648,0.025144,0.000112,0.016420,0.000216,0.078678,0.000000,0.000000,0.001800,0.000000,0.013503,0.000360,0.000000,0.000000,0.023225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003601,0.000000,0.000000,0.072377,0.000000,0.016636,0.030787,0.000000,0.000000,0.000000,0.015934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017500,0.016204,0.007562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025206,0.000000,0.005761,0.000000,0.150514,0.000000,0.009902,0.000000,0.002160,0.014403,0.000000,0.000000,0.210648,0.000000,0.000000,0.050412,0.000000,0.000000,0.000000,0.044290,0.000810,0.000000,0.000000
7,0.076517,0.000000,0.028807,0.000000,0.080838,0.000000,0.129450,0.000000,0.000463,0.000000,0.000926,0.011111,0.000000,0.000000,0.002449,0.037737,0.002449,0.000000,0.138812,0.000098,0.019150,0.023663,0.000000,0.000000,0.000000,0.000000,0.045370,0.000098,0.039969,0.000000,0.000000,0.000000,0.000000,0.007934,0.000000,0.011398,0.000000,0.000309,0.000000,0.011667,0.000000,0.023189,0.000000,0.000000,0.050772,0.000216,0.014151,0.016651,0.007822,0.000000,0.016667,0.000447,0.007778,0.000540,0.027490,0.000112,0.018688,0.000432,0.091821,0.000000,0.000360,0.003241,0.000270,0.014853,0.000720,0.000000,0.000000,0.025926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004321,0.000000,0.000000,0.080118,0.000864,0.018364,0.032948,0.000000,0.000000,0.000000,0.018634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021173,0.016204,0.014259,0.000000,0.000000,0.002881,0.000360,0.000720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040689,0.000000,0.006481,0.000000,0.161677,0.000000,0.010082,0.000000,0.003961,0.015123,0.000000,0.000000,0.220010,0.000000,0.000000,0.055813,0.000270,0.000000,0.000000,0.048971,0.001620,0.000000,0.000000
8,0.083899,0.000000,0.031507,0.000000,0.088400,0.000000,0.129450,0.000000,0.000617,0.000000,0.001543,0.012449,0.000000,0.000000,0.002737,0.038169,0.002881,0.000000,0.148714,0.000196,0.022391,0.027058,0.000103,0.000000,0.000000,0.000000,0.052932,0.000098,0.043570,0.000000,0.000000,0.000000,0.000112,0.009052,0.000000,0.013112,0.000000,0.000926,0.000000,0.013107,0.000000,0.023477,0.000000,0.000000,0.055453,0.000216,0.016528,0.018886,0.008381,0.000000,0.018519,0.000447,0.009074,0.000756,0.030619,0.000223,0.021821,0.000648,0.098302,0.000000,0.000360,0.005041,0.000270,0.015664,0.001080,0.000000,0.000000,0.027546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.087680,0.001296,0.020309,0.037539,0.000000,0.000000,0.000000,0.020255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021173,0.019444,0.021173,0.000000,0.000000,0.002881,0.000360,0.000720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055453,0.000000,0.010082,0.000000,0.164558,0.000000,0.011883,0.000000,0.005041,0.015484,0.000000,0.000000,0.245936,0.001080,0.000000,0.060854,0.000540,0.000000,0.000000,0.053652,0.002431,0.000000,0.000000
9,0.089480,0.000000,0.033848,0.000000,0.095962,0.000000,0.137731,0.000180,0.000617,0.000000,0.002572,0.014300,0.000000,0.000000,0.003025,0.044074,0.005329,0.000000,0.163297,0.000491,0.023373,0.030967,0.000103,0.000000,0.000000,0.000000,0.055485,0.000196,0.046811,0.000000,0.000617,0.000000,0.000112,0.010281,0.000000,0.013410,0.000000,0.001235,0.000000,0.014115,0.000000,0.027078,0.000000,0.000000,0.060134,0.000540,0.017284,0.020338,0.009052,0.000000,0.020370,0.000894,0.009722,0.000756,0.034531,0.000335,0.022685,0.001080,0.108205,0.000000,0.000720,0.005761,0.000810,0.016474,0.000720,0.000000,0.000000,0.030787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.095422,0.002160,0.022037,0.039699,0.000000,0.000000,0.000000,0.021605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024846,0.019444,0.028951,0.000000,0.000000,0.005761,0.000720,0.001440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001080,0.000000,0.072016,0.000000,0.008642,0.000000,0.170319,0.000000,0.012603,0.000000,0.007202,0.016924,0.000000,0.000000,0.250617,0.001080,0.000000,0.065535,0.000810,0.000000,0.000000,0.057613,0.003781,0.000000,0.000000
10,0.094162,0.000000,0.035288,0.000000,0.103884,0.005041,0.151235,0.000180,0.001543,0.000154,0.003395,0.014815,0.000000,0.000000,0.003313,0.050412,0.005761,0.000000,0.171399,0.000786,0.025631,0.031481,0.000206,0.000000,0.000000,0.000000,0.060494,0.000295,0.050952,0.000000,0.000617,0.000000,0.000223,0.011734,0.000000,0.014825,0.000309,0.001235,0.000000,0.015123,0.000000,0.030967,0.000288,0.000000,0.063374,0.000864,0.018904,0.022797,0.009722,0.000000,0.020370,0.000894,0.011019,0.000864,0.037548,0.000447,0.024954,0.001404,0.113426,0.000540,0.001800,0.006842,0.001080,0.017014,0.001440,0.000000,0.000000,0.031327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.102984,0.003025,0.024198,0.040509,0.000000,0.000000,0.000000,0.021335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024846,0.022685,0.036944,0.001080,0.002521,0.008642,0.001440,0.002160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001440,0.000000,0.090741,0.000000,0.011523,0.005401,0.172840,0.000000,0.013863,0.000000,0.009722,0.016924,0.000000,0.000000,0.258179,0.002160,0.000000,0.071296,0.001350,0.000000,0.000000,0.060854,0.004591,0.000000,0.000000
