Time,North,East,South,West
1,red,blue,no signal,blue
2,red,blue,no signal,blue
3,red,blue,no signal,blue
4,red,blue,no signal,blue
5,red,blue,no signal,blue
6,red,blue,no signal,blue
7,red,blue,no signal,blue
8,red,blue,no signal,blue
9,red,blue,no signal,blue
10,red,blue,no signal,blue
11,red,blue,no signal,blue
12,red,blue,no signal,blue
13,red,blue,no signal,blue
14,red,blue,no signal,blue
15,red,blue,no signal,blue
16,red,blue,no signal,blue
17,red,blue,no signal,blue
18,red,blue,no signal,blue
19,red,blue,no signal,blue
20,red,blue,no signal,blue
21,red,blue,no signal,blue
22,red,blue,no signal,blue
23,red,blue,no signal,blue
24,red,blue,no signal,blue
25,red,blue,no signal,blue
26,red,blue,no signal,blue
27,red,blue,no signal,blue
28,red,blue,no signal,blue
29,red,blue,no signal,blue
30,red,blue,no signal,blue
31,red,blue,no signal,blue
32,red,blue,no signal,blue
33,red,blue,no signal,blue
34,red,blue,no signal,blue
35,red,blue,no signal,blue
36,red,blue,no signal,blue
37,red,blue,no signal,blue
38,red,blue,no signal,blue
39,red,blue,no signal,blue
40,red,blue,no signal,blue
41,red,blue,no signal,blue
42,red,blue,no signal,blue
43,red,blue,no signal,blue
44,red,blue,no signal,blue
45,red,blue,no signal,blue
46,red,blue,no signal,blue
47,red,blue,no signal,blue
48,red,blue,no signal,blue
49,red,blue,no signal,blue
50,red,blue,no signal,blue
51,red,blue,no signal,blue
52,red,blue,no signal,blue
53,red,blue,no signal,blue
54,red,blue,no signal,blue
55,red,blue,no signal,blue
56,red,blue,no signal,blue
57,red,blue,no signal,blue
58,red,blue,no signal,blue
59,red,blue,no signal,blue
60,red,blue,no signal,blue
61,red,blue,no signal,blue
62,red,blue,no signal,blue
63,red,blue,no signal,blue
64,red,blue,no signal,blue
65,red,blue,no signal,blue
66,red,blue,no signal,blue
67,red,blue,no signal,blue
68,red,blue,no signal,blue
69,red,blue,no signal,blue
70,red,blue,no signal,blue
71,red,blue,no signal,blue
72,red,blue,no signal,blue
73,red,blue,no signal,blue
74,red,blue,no signal,blue
75,red,yellow,no signal,yellow
76,red,yellow,no signal,yellow
77,red,yellow,no signal,yellow
78,red,red,no signal,red
79,red,red,no signal,red
80,red,red,no signal,red
81,blue,red,no signal,red
82,blue,red,no signal,red
83,blue,red,no signal,red
84,blue,red,no signal,red
85,blue,red,no signal,red
86,blue,red,no signal,red
87,blue,red,no signal,red
88,blue,red,no signal,red
89,blue,red,no signal,red
90,blue,red,no signal,red
91,blue,red,no signal,red
92,blue,red,no signal,red
93,blue,red,no signal,red
94,blue,red,no signal,red
95,blue,red,no signal,red
96,blue,red,no signal,red
97,blue,red,no signal,red
98,blue,red,no signal,red
99,blue,red,no signal,red
100,blue,red,no signal,red
101,blue,red,no signal,red
102,blue,red,no signal,red
103,blue,red,no signal,red
104,blue,red,no signal,red
105,blue,red,no signal,red
106,blue,red,no signal,red
107,blue,red,no signal,red
108,blue,red,no signal,red
109,blue,red,no signal,red
110,blue,red,no signal,red
111,blue,red,no signal,red
112,blue,red,no signal,red
113,blue,red,no signal,red
114,blue,red,no signal,red
115,yellow,red,no signal,red
116,yellow,red,no signal,red
117,yellow,red,no signal,red
118,red,red,no signal,red
119,red,red,no signal,red
120,red,blue,no signal,blue
121,red,blue,no signal,blue
122,red,blue,no signal,blue
123,red,blue,no signal,blue
124,red,blue,no signal,blue
125,red,blue,no signal,blue
126,red,blue,no signal,blue
127,red,blue,no signal,blue
128,red,blue,no signal,blue
129,red,blue,no signal,blue
130,red,blue,no signal,blue
131,red,blue,no signal,blue
132,red,blue,no signal,blue
133,red,blue,no signal,blue
134,red,blue,no signal,blue
135,red,blue,no signal,blue
136,red,blue,no signal,blue
137,red,blue,no signal,blue
138,red,blue,no signal,blue
139,red,blue,no signal,blue
140,red,blue,no signal,blue
141,red,blue,no signal,blue
142,red,blue,no signal,blue
143,red,blue,no signal,blue
144,red,blue,no signal,blue
145,red,blue,no signal,blue
146,red,blue,no signal,blue
147,red,blue,no signal,blue
148,red,blue,no signal,blue
149,red,blue,no signal,blue
150,red,blue,no signal,blue
151,red,blue,no signal,blue
152,red,blue,no signal,blue
153,red,blue,no signal,blue
154,red,blue,no signal,blue
155,red,blue,no signal,blue
156,red,blue,no signal,blue
157,red,blue,no signal,blue
158,red,blue,no signal,blue
159,red,blue,no signal,blue
160,red,blue,no signal,blue
161,red,blue,no signal,blue
162,red,blue,no signal,blue
163,red,blue,no signal,blue
164,red,blue,no signal,blue
165,red,blue,no signal,blue
166,red,blue,no signal,blue
167,red,blue,no signal,blue
168,red,blue,no signal,blue
169,red,blue,no signal,blue
170,red,blue,no signal,blue
171,red,blue,no signal,blue
172,red,blue,no signal,blue
173,red,blue,no signal,blue
174,red,blue,no signal,blue
175,red,blue,no signal,blue
176,red,blue,no signal,blue
177,red,blue,no signal,blue
178,red,blue,no signal,blue
179,red,blue,no signal,blue
180,red,blue,no signal,blue
181,red,blue,no signal,blue
182,red,blue,no signal,blue
183,red,blue,no signal,blue
184,red,blue,no signal,blue
185,red,blue,no signal,blue
186,red,blue,no signal,blue
187,red,blue,no signal,blue
188,red,blue,no signal,blue
189,red,blue,no signal,blue
190,red,blue,no signal,blue
191,red,blue,no signal,blue
192,red,blue,no signal,blue
193,red,blue,no signal,blue
194,red,blue,no signal,blue
195,red,yellow,no signal,yellow
196,red,yellow,no signal,yellow
197,red,yellow,no signal,yellow
198,red,red,no signal,red
199,red,red,no signal,red
200,red,red,no signal,red
201,blue,red,no signal,red
202,blue,red,no signal,red
203,blue,red,no signal,red
204,blue,red,no signal,red
205,blue,red,no signal,red
206,blue,red,no signal,red
207,blue,red,no signal,red
208,blue,red,no signal,red
209,blue,red,no signal,red
210,blue,red,no signal,red
211,blue,red,no signal,red
212,blue,red,no signal,red
213,blue,red,no signal,red
214,blue,red,no signal,red
215,blue,red,no signal,red
216,blue,red,no signal,red
217,blue,red,no signal,red
218,blue,red,no signal,red
219,blue,red,no signal,red
220,blue,red,no signal,red
221,blue,red,no signal,red
222,blue,red,no signal,red
223,blue,red,no signal,red
224,blue,red,no signal,red
225,blue,red,no signal,red
226,blue,red,no signal,red
227,blue,red,no signal,red
228,blue,red,no signal,red
229,blue,red,no signal,red
230,blue,red,no signal,red
231,blue,red,no signal,red
232,blue,red,no signal,red
233,blue,red,no signal,red
234,blue,red,no signal,red
235,yellow,red,no signal,red
236,yellow,red,no signal,red
237,yellow,red,no signal,red
238,red,red,no signal,red
239,red,red,no signal,red
240,red,blue,no signal,blue
241,red,blue,no signal,blue
242,red,blue,no signal,blue
243,red,blue,no signal,blue
244,red,blue,no signal,blue
245,red,blue,no signal,blue
246,red,blue,no signal,blue
247,red,blue,no signal,blue
248,red,blue,no signal,blue
249,red,blue,no signal,blue
250,red,blue,no signal,blue
251,red,blue,no signal,blue
252,red,blue,no signal,blue
253,red,blue,no signal,blue
254,red,blue,no signal,blue
255,red,blue,no signal,blue
256,red,blue,no signal,blue
257,red,blue,no signal,blue
258,red,blue,no signal,blue
259,red,blue,no signal,blue
260,red,blue,no signal,blue
261,red,blue,no signal,blue
262,red,blue,no signal,blue
263,red,blue,no signal,blue
264,red,blue,no signal,blue
265,red,blue,no signal,blue
266,red,blue,no signal,blue
267,red,blue,no signal,blue
268,red,blue,no signal,blue
269,red,blue,no signal,blue
270,red,blue,no signal,blue
271,red,blue,no signal,blue
272,red,blue,no signal,blue
273,red,blue,no signal,blue
274,red,blue,no signal,blue
275,red,blue,no signal,blue
276,red,blue,no signal,blue
277,red,blue,no signal,blue
278,red,blue,no signal,blue
279,red,blue,no signal,blue
280,red,blue,no signal,blue
281,red,blue,no signal,blue
282,red,blue,no signal,blue
283,red,blue,no signal,blue
284,red,blue,no signal,blue
285,red,blue,no signal,blue
286,red,blue,no signal,blue
287,red,blue,no signal,blue
288,red,blue,no signal,blue
289,red,blue,no signal,blue
290,red,blue,no signal,blue
291,red,blue,no signal,blue
292,red,blue,no signal,blue
293,red,blue,no signal,blue
294,red,blue,no signal,blue
295,red,blue,no signal,blue
296,red,blue,no signal,blue
297,red,blue,no signal,blue
298,red,blue,no signal,blue
299,red,blue,no signal,blue
300,red,blue,no signal,blue
301,red,blue,no signal,blue
302,red,blue,no signal,blue
303,red,blue,no signal,blue
304,red,blue,no signal,blue
305,red,blue,no signal,blue
306,red,blue,no signal,blue
307,red,blue,no signal,blue
308,red,blue,no signal,blue
309,red,blue,no signal,blue
310,red,blue,no signal,blue
311,red,blue,no signal,blue
312,red,blue,no signal,blue
313,red,blue,no signal,blue
314,red,blue,no signal,blue
315,red,yellow,no signal,yellow
316,red,yellow,no signal,yellow
317,red,yellow,no signal,yellow
318,red,red,no signal,red
319,red,red,no signal,red
320,red,red,no signal,red
321,blue,red,no signal,red
322,blue,red,no signal,red
323,blue,red,no signal,red
324,blue,red,no signal,red
