Time,North,East,South,West
1,blue,no signal,blue,red
2,blue,no signal,blue,red
3,blue,no signal,blue,red
4,blue,no signal,blue,red
5,blue,no signal,blue,red
6,blue,no signal,blue,red
7,blue,no signal,blue,red
8,blue,no signal,blue,red
9,blue,no signal,blue,red
10,blue,no signal,blue,red
11,blue,no signal,blue,red
12,blue,no signal,blue,red
13,blue,no signal,blue,red
14,blue,no signal,blue,red
15,blue,no signal,blue,red
16,blue,no signal,blue,red
17,blue,no signal,blue,red
18,blue,no signal,blue,red
19,blue,no signal,blue,red
20,blue,no signal,blue,red
21,blue,no signal,blue,red
22,blue,no signal,blue,red
23,blue,no signal,blue,red
24,blue,no signal,blue,red
25,blue,no signal,blue,red
26,blue,no signal,blue,red
27,blue,no signal,blue,red
28,blue,no signal,blue,red
29,blue,no signal,blue,red
30,blue,no signal,blue,red
31,blue,no signal,blue,red
32,blue,no signal,blue,red
33,blue,no signal,blue,red
34,blue,no signal,blue,red
35,blue,no signal,blue,red
36,blue,no signal,blue,red
37,blue,no signal,blue,red
38,blue,no signal,blue,red
39,blue,no signal,blue,red
40,blue,no signal,blue,red
41,blue,no signal,blue,red
42,blue,no signal,blue,red
43,blue,no signal,blue,red
44,blue,no signal,blue,red
45,blue,no signal,blue,red
46,blue,no signal,blue,red
47,blue,no signal,blue,red
48,blue,no signal,blue,red
49,blue,no signal,blue,red
50,blue,no signal,blue,red
51,blue,no signal,blue,red
52,blue,no signal,blue,red
53,blue,no signal,blue,red
54,blue,no signal,blue,red
55,blue,no signal,blue,red
56,blue,no signal,blue,red
57,blue,no signal,blue,red
58,blue,no signal,blue,red
59,blue,no signal,blue,red
60,blue,no signal,blue,red
61,blue,no signal,blue,red
62,blue,no signal,blue,red
63,yellow,no signal,yellow,red
64,yellow,no signal,yellow,red
65,yellow,no signal,yellow,red
66,red,no signal,red,red
67,red,no signal,red,red
68,red,no signal,red,blue
69,red,no signal,red,blue
70,red,no signal,red,blue
71,red,no signal,red,blue
72,red,no signal,red,blue
73,red,no signal,red,blue
74,red,no signal,red,blue
75,red,no signal,red,blue
76,red,no signal,red,blue
77,red,no signal,red,blue
78,red,no signal,red,blue
79,red,no signal,red,blue
80,red,no signal,red,blue
81,red,no signal,red,blue
82,red,no signal,red,blue
83,red,no signal,red,blue
84,red,no signal,red,blue
85,red,no signal,red,blue
86,red,no signal,red,blue
87,red,no signal,red,blue
88,red,no signal,red,blue
89,red,no signal,red,blue
90,red,no signal,red,blue
91,red,no signal,red,blue
92,red,no signal,red,blue
93,red,no signal,red,blue
94,red,no signal,red,blue
95,red,no signal,red,blue
96,red,no signal,red,blue
97,red,no signal,red,blue
98,red,no signal,red,blue
99,red,no signal,red,blue
100,red,no signal,red,blue
101,red,no signal,red,blue
102,red,no signal,red,blue
103,red,no signal,red,blue
104,red,no signal,red,blue
105,red,no signal,red,blue
106,red,no signal,red,blue
107,red,no signal,red,blue
108,red,no signal,red,blue
109,red,no signal,red,blue
110,red,no signal,red,blue
111,red,no signal,red,blue
112,red,no signal,red,blue
113,red,no signal,red,blue
114,red,no signal,red,yellow
115,red,no signal,red,yellow
116,red,no signal,red,yellow
117,red,no signal,red,yellow
118,red,no signal,red,red
119,red,no signal,red,red
120,blue,no signal,blue,red
121,blue,no signal,blue,red
122,blue,no signal,blue,red
123,blue,no signal,blue,red
124,blue,no signal,blue,red
125,blue,no signal,blue,red
126,blue,no signal,blue,red
127,blue,no signal,blue,red
128,blue,no signal,blue,red
129,blue,no signal,blue,red
130,blue,no signal,blue,red
131,blue,no signal,blue,red
132,blue,no signal,blue,red
133,blue,no signal,blue,red
134,blue,no signal,blue,red
135,blue,no signal,blue,red
136,blue,no signal,blue,red
137,blue,no signal,blue,red
138,blue,no signal,blue,red
139,blue,no signal,blue,red
140,blue,no signal,blue,red
141,blue,no signal,blue,red
142,blue,no signal,blue,red
143,blue,no signal,blue,red
144,blue,no signal,blue,red
145,blue,no signal,blue,red
146,blue,no signal,blue,red
147,blue,no signal,blue,red
148,blue,no signal,blue,red
149,blue,no signal,blue,red
150,blue,no signal,blue,red
151,blue,no signal,blue,red
152,blue,no signal,blue,red
153,blue,no signal,blue,red
154,blue,no signal,blue,red
155,blue,no signal,blue,red
156,blue,no signal,blue,red
157,blue,no signal,blue,red
158,blue,no signal,blue,red
159,blue,no signal,blue,red
160,blue,no signal,blue,red
161,blue,no signal,blue,red
162,blue,no signal,blue,red
163,blue,no signal,blue,red
164,blue,no signal,blue,red
165,blue,no signal,blue,red
166,blue,no signal,blue,red
167,blue,no signal,blue,red
168,blue,no signal,blue,red
169,blue,no signal,blue,red
170,blue,no signal,blue,red
171,blue,no signal,blue,red
172,blue,no signal,blue,red
173,blue,no signal,blue,red
174,blue,no signal,blue,red
175,blue,no signal,blue,red
176,blue,no signal,blue,red
177,blue,no signal,blue,red
178,blue,no signal,blue,red
179,blue,no signal,blue,red
180,blue,no signal,blue,red
181,blue,no signal,blue,red
182,blue,no signal,blue,red
183,yellow,no signal,yellow,red
184,yellow,no signal,yellow,red
185,yellow,no signal,yellow,red
186,red,no signal,red,red
187,red,no signal,red,red
188,red,no signal,red,blue
189,red,no signal,red,blue
190,red,no signal,red,blue
191,red,no signal,red,blue
192,red,no signal,red,blue
193,red,no signal,red,blue
194,red,no signal,red,blue
195,red,no signal,red,blue
196,red,no signal,red,blue
197,red,no signal,red,blue
198,red,no signal,red,blue
199,red,no signal,red,blue
200,red,no signal,red,blue
201,red,no signal,red,blue
202,red,no signal,red,blue
203,red,no signal,red,blue
204,red,no signal,red,blue
205,red,no signal,red,blue
206,red,no signal,red,blue
207,red,no signal,red,blue
208,red,no signal,red,blue
209,red,no signal,red,blue
210,red,no signal,red,blue
211,red,no signal,red,blue
212,red,no signal,red,blue
213,red,no signal,red,blue
214,red,no signal,red,blue
215,red,no signal,red,blue
216,red,no signal,red,blue
217,red,no signal,red,blue
218,red,no signal,red,blue
219,red,no signal,red,blue
220,red,no signal,red,blue
221,red,no signal,red,blue
222,red,no signal,red,blue
223,red,no signal,red,blue
224,red,no signal,red,blue
225,red,no signal,red,blue
226,red,no signal,red,blue
227,red,no signal,red,blue
228,red,no signal,red,blue
229,red,no signal,red,blue
230,red,no signal,red,blue
231,red,no signal,red,blue
232,red,no signal,red,blue
233,red,no signal,red,blue
234,red,no signal,red,yellow
235,red,no signal,red,yellow
236,red,no signal,red,yellow
237,red,no signal,red,yellow
238,red,no signal,red,red
239,red,no signal,red,red
240,blue,no signal,blue,red
241,blue,no signal,blue,red
242,blue,no signal,blue,red
243,blue,no signal,blue,red
244,blue,no signal,blue,red
245,blue,no signal,blue,red
246,blue,no signal,blue,red
247,blue,no signal,blue,red
248,blue,no signal,blue,red
249,blue,no signal,blue,red
250,blue,no signal,blue,red
251,blue,no signal,blue,red
252,blue,no signal,blue,red
253,blue,no signal,blue,red
254,blue,no signal,blue,red
255,blue,no signal,blue,red
256,blue,no signal,blue,red
257,blue,no signal,blue,red
258,blue,no signal,blue,red
259,blue,no signal,blue,red
260,blue,no signal,blue,red
261,blue,no signal,blue,red
262,blue,no signal,blue,red
263,blue,no signal,blue,red
264,blue,no signal,blue,red
265,blue,no signal,blue,red
266,blue,no signal,blue,red
267,blue,no signal,blue,red
268,blue,no signal,blue,red
269,blue,no signal,blue,red
270,blue,no signal,blue,red
271,blue,no signal,blue,red
272,blue,no signal,blue,red
273,blue,no signal,blue,red
274,blue,no signal,blue,red
275,blue,no signal,blue,red
276,blue,no signal,blue,red
277,blue,no signal,blue,red
278,blue,no signal,blue,red
279,blue,no signal,blue,red
280,blue,no signal,blue,red
281,blue,no signal,blue,red
282,blue,no signal,blue,red
283,blue,no signal,blue,red
284,blue,no signal,blue,red
285,blue,no signal,blue,red
286,blue,no signal,blue,red
287,blue,no signal,blue,red
288,blue,no signal,blue,red
289,blue,no signal,blue,red
290,blue,no signal,blue,red
291,blue,no signal,blue,red
292,blue,no signal,blue,red
293,blue,no signal,blue,red
294,blue,no signal,blue,red
295,blue,no signal,blue,red
296,blue,no signal,blue,red
297,blue,no signal,blue,red
298,blue,no signal,blue,red
299,blue,no signal,blue,red
300,blue,no signal,blue,red
301,blue,no signal,blue,red
302,blue,no signal,blue,red
303,yellow,no signal,yellow,red
304,yellow,no signal,yellow,red
305,yellow,no signal,yellow,red
306,red,no signal,red,red
307,red,no signal,red,red
308,red,no signal,red,blue
309,red,no signal,red,blue
310,red,no signal,red,blue
311,red,no signal,red,blue
312,red,no signal,red,blue
313,red,no signal,red,blue
314,red,no signal,red,blue
315,red,no signal,red,blue
316,red,no signal,red,blue
317,red,no signal,red,blue
318,red,no signal,red,blue
319,red,no signal,red,blue
320,red,no signal,red,blue
321,red,no signal,red,blue
322,red,no signal,red,blue
323,red,no signal,red,blue
324,red,no signal,red,blue
