Time,inflow,outflow
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,12.000000,0.000000
8,0.000000,0.000000
9,12.000000,0.000000
10,12.000000,0.000000
11,12.000000,0.000000
12,12.000000,0.000000
13,12.000000,0.000000
14,18.000000,0.000000
15,18.000000,12.000000
16,18.000000,0.000000
17,18.000000,12.000000
18,36.000000,0.000000
19,18.000000,12.000000
20,30.000000,12.000000
21,48.000000,12.000000
22,30.000000,12.000000
23,48.000000,18.000000
24,30.000000,18.000000
25,48.000000,18.000000
26,30.000000,18.000000
27,48.000000,18.000000
28,30.000000,30.000000
29,48.000000,30.000000
30,30.000000,30.000000
31,48.000000,30.000000
32,48.000000,30.000000
33,48.000000,30.000000
34,48.000000,36.000000
35,30.000000,36.000000
36,66.000000,42.000000
37,48.000000,36.000000
38,48.000000,42.000000
39,48.000000,36.000000
40,48.000000,42.000000
41,48.000000,48.000000
42,48.000000,48.000000
43,42.000000,48.000000
44,48.000000,48.000000
45,48.000000,48.000000
46,48.000000,48.000000
47,48.000000,48.000000
48,48.000000,48.000000
49,48.000000,48.000000
50,48.000000,36.000000
51,48.000000,48.000000
52,48.000000,48.000000
53,48.000000,48.000000
54,48.000000,42.000000
55,48.000000,48.000000
56,48.000000,48.000000
57,48.000000,0.000000
58,48.000000,0.000000
59,48.000000,0.000000
60,48.000000,0.000000
61,48.000000,0.000000
62,48.000000,0.000000
63,54.000000,0.000000
64,48.000000,0.000000
65,48.000000,0.000000
66,48.000000,0.000000
67,48.000000,0.000000
68,48.000000,0.000000
69,48.000000,0.000000
70,48.000000,0.000000
71,30.000000,0.000000
72,48.000000,0.000000
73,30.000000,0.000000
74,48.000000,0.000000
75,30.000000,0.000000
76,48.000000,0.000000
77,30.000000,0.000000
78,48.000000,0.000000
79,48.000000,0.000000
80,48.000000,0.000000
81,42.000000,0.000000
82,48.000000,0.000000
83,48.000000,0.000000
84,48.000000,0.000000
85,48.000000,0.000000
86,48.000000,0.000000
87,66.000000,0.000000
88,66.000000,0.000000
89,66.000000,0.000000
90,66.000000,0.000000
91,48.000000,0.000000
92,48.000000,0.000000
93,48.000000,0.000000
94,48.000000,0.000000
95,48.000000,0.000000
96,48.000000,0.000000
97,48.000000,0.000000
98,48.000000,0.000000
99,48.000000,0.000000
100,36.000000,0.000000
101,18.000000,0.000000
102,48.000000,0.000000
103,24.000000,0.000000
104,36.000000,0.000000
105,18.000000,0.000000
106,42.000000,0.000000
107,18.000000,0.000000
108,18.000000,0.000000
109,42.000000,0.000000
110,18.000000,0.000000
111,18.000000,582.000000
112,36.000000,462.000000
113,18.000000,366.000000
114,18.000000,294.000000
115,18.000000,240.000000
116,18.000000,186.000000
117,36.000000,156.000000
118,18.000000,126.000000
119,18.000000,102.000000
120,18.000000,84.000000
121,18.000000,66.000000
122,18.000000,60.000000
123,36.000000,42.000000
124,54.000000,36.000000
125,108.000000,42.000000
126,156.000000,36.000000
127,162.000000,36.000000
128,150.000000,54.000000
129,204.000000,66.000000
130,258.000000,72.000000
131,300.000000,84.000000
132,300.000000,102.000000
133,306.000000,120.000000
134,330.000000,138.000000
135,342.000000,162.000000
136,336.000000,180.000000
137,324.000000,198.000000
138,312.000000,216.000000
139,276.000000,216.000000
140,234.000000,216.000000
141,210.000000,240.000000
142,186.000000,252.000000
143,162.000000,252.000000
144,144.000000,258.000000
145,132.000000,234.000000
146,126.000000,234.000000
147,114.000000,234.000000
148,96.000000,216.000000
149,90.000000,180.000000
150,84.000000,192.000000
151,78.000000,186.000000
152,72.000000,180.000000
153,60.000000,162.000000
154,54.000000,156.000000
155,48.000000,144.000000
156,54.000000,132.000000
157,60.000000,120.000000
158,72.000000,120.000000
159,78.000000,108.000000
160,90.000000,102.000000
161,102.000000,96.000000
162,114.000000,96.000000
163,114.000000,84.000000
164,120.000000,90.000000
165,126.000000,96.000000
166,138.000000,90.000000
167,138.000000,0.000000
168,144.000000,0.000000
169,138.000000,0.000000
170,138.000000,0.000000
171,138.000000,0.000000
172,150.000000,0.000000
173,156.000000,0.000000
174,156.000000,0.000000
175,150.000000,0.000000
176,156.000000,0.000000
177,162.000000,0.000000
178,162.000000,0.000000
179,174.000000,0.000000
180,174.000000,0.000000
181,180.000000,0.000000
182,180.000000,0.000000
183,186.000000,0.000000
184,186.000000,0.000000
185,192.000000,0.000000
186,192.000000,0.000000
187,192.000000,0.000000
188,192.000000,0.000000
189,198.000000,0.000000
190,198.000000,0.000000
191,198.000000,0.000000
192,192.000000,0.000000
193,174.000000,0.000000
194,168.000000,0.000000
195,162.000000,0.000000
196,156.000000,0.000000
197,150.000000,0.000000
198,144.000000,0.000000
199,138.000000,0.000000
200,138.000000,0.000000
201,132.000000,0.000000
202,120.000000,0.000000
203,120.000000,0.000000
204,114.000000,0.000000
205,108.000000,0.000000
206,102.000000,0.000000
207,102.000000,0.000000
208,96.000000,0.000000
209,96.000000,0.000000
210,90.000000,0.000000
211,96.000000,0.000000
212,84.000000,0.000000
213,102.000000,0.000000
214,84.000000,0.000000
215,84.000000,0.000000
216,66.000000,0.000000
217,66.000000,0.000000
218,66.000000,0.000000
219,66.000000,0.000000
220,60.000000,0.000000
221,60.000000,1764.000000
222,60.000000,1404.000000
223,54.000000,1116.000000
224,54.000000,888.000000
225,48.000000,714.000000
226,36.000000,570.000000
227,54.000000,462.000000
228,36.000000,372.000000
229,54.000000,300.000000
230,36.000000,246.000000
231,36.000000,204.000000
232,54.000000,174.000000
233,36.000000,144.000000
234,36.000000,120.000000
235,36.000000,102.000000
236,36.000000,90.000000
237,54.000000,84.000000
238,36.000000,72.000000
239,36.000000,66.000000
240,36.000000,60.000000
241,36.000000,54.000000
242,36.000000,54.000000
243,90.000000,48.000000
244,174.000000,48.000000
245,264.000000,48.000000
246,360.000000,54.000000
247,426.000000,66.000000
248,498.000000,84.000000
249,606.000000,108.000000
