Time,inflow,outflow
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,24.000000,0.000000
15,36.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,60.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,60.000000,0.000000
24,0.000000,0.000000
25,0.000000,0.000000
26,60.000000,24.000000
27,0.000000,0.000000
28,0.000000,0.000000
29,60.000000,0.000000
30,0.000000,0.000000
31,60.000000,36.000000
32,6.000000,0.000000
33,24.000000,0.000000
34,36.000000,24.000000
35,24.000000,0.000000
36,42.000000,0.000000
37,24.000000,36.000000
38,36.000000,0.000000
39,24.000000,24.000000
40,42.000000,0.000000
41,24.000000,36.000000
42,36.000000,0.000000
43,30.000000,24.000000
44,48.000000,0.000000
45,36.000000,36.000000
46,60.000000,0.000000
47,36.000000,24.000000
48,60.000000,0.000000
49,60.000000,60.000000
50,60.000000,0.000000
51,60.000000,42.000000
52,60.000000,24.000000
53,60.000000,0.000000
54,60.000000,60.000000
55,60.000000,36.000000
56,60.000000,30.000000
57,0.000000,36.000000
58,0.000000,24.000000
59,0.000000,36.000000
60,0.000000,30.000000
61,0.000000,36.000000
62,0.000000,30.000000
63,0.000000,12.000000
64,0.000000,36.000000
65,0.000000,36.000000
66,0.000000,24.000000
67,600.000000,36.000000
68,600.000000,36.000000
69,600.000000,24.000000
70,450.000000,36.000000
71,450.000000,60.000000
72,450.000000,60.000000
73,450.000000,84.000000
74,450.000000,60.000000
75,450.000000,120.000000
76,300.000000,96.000000
77,300.000000,150.000000
78,300.000000,150.000000
79,342.000000,150.000000
80,342.000000,150.000000
81,300.000000,150.000000
82,300.000000,150.000000
83,300.000000,150.000000
84,300.000000,150.000000
85,300.000000,150.000000
86,234.000000,300.000000
87,192.000000,300.000000
88,150.000000,300.000000
89,174.000000,300.000000
90,150.000000,300.000000
91,150.000000,300.000000
92,192.000000,150.000000
93,150.000000,300.000000
94,192.000000,150.000000
95,150.000000,150.000000
96,150.000000,300.000000
97,192.000000,150.000000
98,150.000000,150.000000
99,150.000000,150.000000
100,216.000000,150.000000
101,150.000000,150.000000
102,150.000000,150.000000
103,150.000000,150.000000
104,192.000000,150.000000
105,150.000000,150.000000
106,150.000000,192.000000
107,150.000000,150.000000
108,150.000000,192.000000
109,300.000000,150.000000
110,300.000000,150.000000
111,282.000000,300.000000
112,270.000000,300.000000
113,258.000000,150.000000
114,228.000000,300.000000
115,228.000000,150.000000
116,258.000000,234.000000
117,228.000000,192.000000
118,0.000000,300.000000
119,0.000000,174.000000
120,0.000000,300.000000
121,378.000000,192.000000
122,366.000000,192.000000
123,360.000000,150.000000
124,354.000000,150.000000
125,342.000000,192.000000
126,330.000000,300.000000
127,318.000000,216.000000
128,300.000000,300.000000
129,288.000000,300.000000
130,270.000000,192.000000
131,264.000000,300.000000
132,258.000000,300.000000
133,240.000000,300.000000
134,234.000000,300.000000
135,228.000000,282.000000
136,216.000000,270.000000
137,210.000000,258.000000
138,192.000000,306.000000
139,204.000000,258.000000
140,198.000000,324.000000
141,168.000000,306.000000
142,168.000000,306.000000
143,162.000000,312.000000
144,162.000000,270.000000
145,156.000000,288.000000
146,162.000000,282.000000
147,156.000000,270.000000
148,156.000000,258.000000
149,150.000000,264.000000
150,150.000000,264.000000
151,150.000000,252.000000
152,144.000000,234.000000
153,144.000000,240.000000
154,150.000000,222.000000
155,144.000000,216.000000
156,144.000000,222.000000
157,144.000000,222.000000
158,138.000000,216.000000
159,138.000000,180.000000
160,138.000000,192.000000
161,138.000000,192.000000
162,138.000000,198.000000
163,144.000000,192.000000
164,138.000000,180.000000
165,114.000000,174.000000
166,114.000000,162.000000
167,114.000000,180.000000
168,114.000000,162.000000
169,114.000000,156.000000
170,138.000000,156.000000
171,114.000000,150.000000
172,114.000000,150.000000
173,114.000000,150.000000
174,138.000000,168.000000
175,102.000000,144.000000
176,114.000000,150.000000
177,0.000000,144.000000
178,0.000000,144.000000
179,0.000000,144.000000
180,0.000000,138.000000
181,0.000000,138.000000
182,0.000000,138.000000
183,0.000000,114.000000
184,0.000000,114.000000
185,0.000000,108.000000
186,0.000000,108.000000
187,2178.000000,90.000000
188,2172.000000,90.000000
189,2184.000000,114.000000
190,2178.000000,138.000000
191,2196.000000,204.000000
192,2202.000000,252.000000
193,2172.000000,336.000000
194,2088.000000,396.000000
195,1956.000000,450.000000
196,1836.000000,450.000000
197,1734.000000,600.000000
198,1638.000000,786.000000
199,1554.000000,786.000000
200,1488.000000,870.000000
201,1410.000000,972.000000
202,1332.000000,1020.000000
203,1290.000000,1086.000000
204,1230.000000,1056.000000
205,1182.000000,1146.000000
206,1110.000000,1200.000000
207,1068.000000,1194.000000
208,1032.000000,1170.000000
209,1002.000000,1248.000000
210,966.000000,1176.000000
211,942.000000,1278.000000
212,894.000000,1212.000000
213,876.000000,1206.000000
214,834.000000,1230.000000
215,828.000000,1194.000000
216,792.000000,1140.000000
217,774.000000,1242.000000
218,738.000000,1152.000000
219,732.000000,1158.000000
220,708.000000,1110.000000
221,684.000000,1080.000000
222,654.000000,1170.000000
223,636.000000,1026.000000
224,624.000000,1050.000000
225,600.000000,972.000000
226,558.000000,1080.000000
227,528.000000,996.000000
228,534.000000,1008.000000
229,510.000000,960.000000
230,492.000000,990.000000
231,468.000000,912.000000
232,444.000000,888.000000
233,408.000000,834.000000
234,408.000000,888.000000
235,378.000000,858.000000
236,378.000000,792.000000
237,372.000000,786.000000
238,0.000000,750.000000
239,0.000000,642.000000
240,0.000000,738.000000
241,576.000000,684.000000
242,576.000000,666.000000
243,570.000000,624.000000
244,570.000000,576.000000
245,564.000000,552.000000
246,546.000000,552.000000
