Time,inflow,outflow
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,0.000000,0.000000
24,0.000000,0.000000
25,0.000000,0.000000
26,0.000000,0.000000
27,0.000000,0.000000
28,0.000000,0.000000
29,0.000000,0.000000
30,0.000000,0.000000
31,0.000000,0.000000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.000000,0.000000
35,0.000000,0.000000
36,0.000000,0.000000
37,0.000000,0.000000
38,0.000000,0.000000
39,0.000000,0.000000
40,0.000000,0.000000
41,0.000000,0.000000
42,0.000000,0.000000
43,0.000000,0.000000
44,0.000000,0.000000
45,0.000000,0.000000
46,0.000000,0.000000
47,0.000000,0.000000
48,0.000000,0.000000
49,0.000000,0.000000
50,0.000000,0.000000
51,492.000000,0.000000
52,486.000000,0.000000
53,492.000000,6.000000
54,492.000000,18.000000
55,498.000000,30.000000
56,498.000000,60.000000
57,498.000000,90.000000
58,498.000000,108.000000
59,498.000000,144.000000
60,504.000000,174.000000
61,522.000000,204.000000
62,528.000000,234.000000
63,540.000000,258.000000
64,552.000000,282.000000
65,522.000000,294.000000
66,444.000000,312.000000
67,438.000000,336.000000
68,396.000000,342.000000
69,372.000000,366.000000
70,354.000000,372.000000
71,324.000000,378.000000
72,276.000000,384.000000
73,264.000000,390.000000
74,258.000000,396.000000
75,246.000000,402.000000
76,234.000000,384.000000
77,234.000000,378.000000
78,228.000000,366.000000
79,228.000000,366.000000
80,228.000000,360.000000
81,222.000000,354.000000
82,222.000000,348.000000
83,222.000000,342.000000
84,222.000000,324.000000
85,216.000000,312.000000
86,216.000000,306.000000
87,216.000000,288.000000
88,216.000000,282.000000
89,216.000000,276.000000
90,210.000000,270.000000
91,210.000000,258.000000
92,210.000000,258.000000
93,216.000000,252.000000
94,216.000000,246.000000
95,216.000000,240.000000
96,216.000000,240.000000
97,216.000000,234.000000
98,216.000000,234.000000
99,216.000000,228.000000
100,216.000000,228.000000
101,222.000000,222.000000
102,222.000000,222.000000
103,216.000000,222.000000
104,222.000000,222.000000
105,222.000000,222.000000
106,222.000000,222.000000
107,222.000000,216.000000
108,228.000000,216.000000
109,0.000000,216.000000
110,0.000000,216.000000
111,0.000000,222.000000
112,0.000000,222.000000
113,0.000000,216.000000
114,0.000000,204.000000
115,0.000000,192.000000
116,0.000000,180.000000
117,0.000000,168.000000
118,0.000000,144.000000
119,0.000000,144.000000
120,0.000000,132.000000
121,0.000000,114.000000
122,0.000000,114.000000
123,0.000000,102.000000
124,0.000000,78.000000
125,0.000000,36.000000
126,0.000000,0.000000
127,0.000000,120.000000
128,0.000000,0.000000
129,0.000000,120.000000
130,0.000000,0.000000
131,0.000000,120.000000
132,0.000000,24.000000
133,0.000000,0.000000
134,0.000000,36.000000
135,0.000000,6.000000
136,0.000000,6.000000
137,0.000000,0.000000
138,0.000000,6.000000
139,0.000000,0.000000
140,0.000000,6.000000
141,0.000000,0.000000
142,0.000000,0.000000
143,0.000000,120.000000
144,0.000000,0.000000
145,0.000000,0.000000
146,54.000000,0.000000
147,72.000000,120.000000
148,60.000000,0.000000
149,78.000000,24.000000
150,90.000000,0.000000
151,72.000000,48.000000
152,90.000000,6.000000
153,36.000000,24.000000
154,90.000000,30.000000
155,90.000000,30.000000
156,60.000000,30.000000
157,150.000000,36.000000
158,60.000000,42.000000
159,150.000000,42.000000
160,180.000000,48.000000
161,150.000000,48.000000
162,150.000000,54.000000
163,60.000000,60.000000
164,150.000000,54.000000
165,180.000000,30.000000
166,150.000000,60.000000
167,0.000000,60.000000
168,150.000000,90.000000
169,0.000000,90.000000
170,0.000000,0.000000
171,960.000000,120.000000
172,960.000000,0.000000
173,972.000000,210.000000
174,990.000000,150.000000
175,1002.000000,186.000000
176,1032.000000,240.000000
177,1062.000000,282.000000
178,1092.000000,330.000000
179,1134.000000,378.000000
180,1122.000000,438.000000
181,1110.000000,486.000000
182,1104.000000,540.000000
183,1110.000000,588.000000
184,1086.000000,642.000000
185,1116.000000,678.000000
186,1098.000000,726.000000
187,1080.000000,768.000000
188,1110.000000,804.000000
189,1122.000000,834.000000
190,1134.000000,846.000000
191,1134.000000,882.000000
192,1146.000000,906.000000
193,1242.000000,918.000000
194,1392.000000,942.000000
195,1476.000000,960.000000
196,1572.000000,996.000000
197,1638.000000,1026.000000
198,1686.000000,1056.000000
199,1704.000000,1074.000000
200,1632.000000,1104.000000
201,1416.000000,1134.000000
202,1338.000000,1188.000000
203,1248.000000,1230.000000
204,1128.000000,1266.000000
205,1032.000000,1242.000000
206,960.000000,1266.000000
207,906.000000,1284.000000
208,852.000000,1290.000000
209,816.000000,1242.000000
210,792.000000,1230.000000
211,768.000000,1224.000000
212,750.000000,1158.000000
213,738.000000,1110.000000
214,732.000000,1110.000000
215,720.000000,1098.000000
216,714.000000,1080.000000
217,714.000000,1056.000000
218,708.000000,1026.000000
219,702.000000,996.000000
220,708.000000,966.000000
221,708.000000,936.000000
222,702.000000,912.000000
223,594.000000,888.000000
224,510.000000,864.000000
225,450.000000,840.000000
226,396.000000,822.000000
227,360.000000,810.000000
228,330.000000,792.000000
229,0.000000,780.000000
230,0.000000,750.000000
231,0.000000,726.000000
232,0.000000,660.000000
233,0.000000,630.000000
234,0.000000,576.000000
235,0.000000,492.000000
236,0.000000,504.000000
237,0.000000,432.000000
238,0.000000,444.000000
239,0.000000,384.000000
240,0.000000,390.000000
241,462.000000,306.000000
242,486.000000,36.000000
243,498.000000,198.000000
244,498.000000,210.000000
245,504.000000,216.000000
