Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.518519,0.518519,0.518519,0.000000,0.518519
11,0.462506,0.465306,0.459705,0.000008,0.518519
12,0.412544,0.416077,0.409011,0.000012,0.518519
13,0.367979,0.371838,0.364119,0.000015,0.518519
14,0.846746,0.850722,0.842771,0.000016,1.037037
15,0.755277,0.761064,0.749490,0.000033,1.037037
16,0.673688,0.680268,0.667109,0.000043,1.037037
17,1.119432,1.126337,1.112527,0.000048,1.037037
18,0.998506,1.007137,0.989875,0.000074,1.037037
19,1.409161,1.418561,1.399761,0.000088,1.555556
20,1.256937,1.268261,1.245613,0.000128,1.555556
21,1.639675,1.651845,1.627505,0.000148,1.555556
22,1.462550,1.476560,1.448539,0.000196,1.555556
23,1.823077,1.837861,1.808292,0.000219,2.074074
24,1.626139,1.642598,1.609681,0.000271,1.555556
25,1.968995,1.986102,1.951887,0.000293,2.074074
26,1.756295,1.774895,1.737695,0.000346,2.074074
27,2.603609,2.622720,2.584497,0.000365,2.592593
28,2.322355,2.344454,2.300255,0.000488,2.592593
29,3.108520,3.131885,3.085155,0.000546,3.111111
30,2.772723,2.799486,2.745960,0.000716,3.111111
31,3.510238,3.538419,3.482056,0.000794,3.629630
32,3.131045,3.162531,3.099559,0.000991,3.629630
33,3.829852,3.862636,3.797068,0.001075,4.148148
34,3.416133,3.451953,3.380314,0.001283,4.148148
35,4.084144,4.121040,4.047248,0.001361,4.666667
36,3.642955,3.682575,3.603335,0.001570,4.666667
37,4.286463,4.326912,4.246014,0.001636,5.185185
38,3.823419,3.866289,3.780550,0.001838,4.666667
39,4.447433,4.490892,4.403973,0.001889,5.703704
40,3.967000,4.012605,3.921395,0.002080,4.666667
41,4.575503,4.621480,4.529526,0.002114,5.703704
42,4.081236,4.129118,4.033354,0.002293,4.666667
43,4.677399,4.725462,4.629335,0.002310,5.703704
44,4.172124,4.221886,4.122362,0.002476,4.666667
45,4.758469,4.808249,4.708689,0.002478,5.703704
46,4.244437,4.295742,4.193131,0.002632,4.666667
47,4.822970,4.874155,4.771785,0.002620,5.703704
48,4.301970,4.354535,4.249405,0.002763,4.666667
49,4.874288,4.926618,4.821958,0.002738,5.703704
50,4.347745,4.401335,4.294154,0.002872,4.666667
51,4.915118,4.968377,4.861859,0.002836,5.703704
52,4.384164,4.438585,4.329743,0.002962,4.666667
53,4.947603,5.001614,4.893592,0.002917,5.703704
54,4.413140,4.468232,4.358047,0.003035,4.666667
55,4.973449,5.028066,4.918831,0.002983,5.703704
56,4.436193,4.491827,4.380560,0.003095,4.666667
57,4.994012,5.049119,4.938905,0.003037,5.703704
58,4.454535,4.510605,4.398466,0.003144,4.666667
59,5.010373,5.065872,4.954873,0.003080,5.703704
60,4.469129,4.525548,4.412709,0.003183,4.666667
61,5.023389,5.079205,4.967574,0.003115,5.703704
62,4.480739,4.537439,4.424039,0.003215,4.666667
63,5.033746,5.089814,4.977678,0.003144,5.703704
64,4.489977,4.546902,4.433052,0.003240,4.666667
65,5.041986,5.098256,4.985715,0.003166,5.703704
66,4.497327,4.554432,4.440222,0.003261,4.666667
67,5.048541,5.104974,4.992109,0.003185,5.703704
68,4.503174,4.560423,4.445926,0.003277,4.666667
69,4.016720,4.073282,3.960158,0.003199,4.666667
70,3.582815,3.637735,3.527896,0.003016,4.148148
71,3.195783,3.248455,3.143111,0.002774,4.148148
72,4.128337,4.178390,4.078284,0.002505,4.907407
73,4.737930,4.787836,4.688025,0.002491,5.444444
74,5.281672,5.333019,5.230326,0.002636,5.981481
75,5.562973,5.616932,5.509014,0.002912,6.314815
76,5.813887,5.870626,5.757147,0.003219,6.648148
77,6.037695,6.097257,5.978133,0.003548,6.981481
78,6.237327,6.299666,6.174988,0.003886,7.314815
79,6.415393,6.480408,6.350378,0.004227,7.648148
80,6.574224,6.641781,6.506668,0.004564,8.074074
81,6.715898,6.785841,6.645954,0.004892,8.074074
82,6.842267,6.914435,6.770099,0.005208,8.074074
83,6.954985,7.029212,6.880757,0.005510,8.296296
84,7.055527,7.131651,6.979402,0.005795,8.518519
85,7.145207,7.223073,7.067342,0.006063,8.518519
86,7.225200,7.304658,7.145743,0.006313,8.518519
87,7.296552,7.377461,7.215643,0.006546,8.518519
88,7.360196,7.442426,7.277967,0.006762,8.518519
89,6.991039,7.074468,6.907611,0.006960,8.092593
90,6.661760,6.745210,6.578311,0.006964,7.666667
91,6.368052,6.450728,6.285375,0.006835,7.666667
92,6.106071,6.187444,6.024697,0.006622,7.666667
93,5.872390,5.952116,5.792664,0.006356,7.666667
94,5.663953,5.741821,5.586086,0.006063,7.666667
95,5.681736,5.757632,5.605840,0.005760,7.870370
96,5.493894,5.568224,5.419565,0.005525,7.870370
97,5.530047,5.602686,5.457409,0.005276,8.074074
98,5.358592,5.429938,5.287245,0.005090,7.648148
99,5.409361,5.479274,5.339448,0.004888,7.851852
100,5.250943,5.319809,5.182076,0.004743,7.851852
101,5.313341,5.381000,5.245681,0.004578,8.055556
102,5.165295,5.232123,5.098467,0.004466,7.629630
103,5.236945,5.302761,5.171129,0.004332,7.833333
104,5.097151,5.162317,5.031985,0.004247,7.833333
105,5.176163,5.240481,5.111845,0.004137,8.037037
106,5.042935,5.106756,4.979115,0.004073,7.611111
107,5.127804,5.190912,5.064695,0.003983,7.814815
108,4.999800,5.062537,4.937064,0.003936,7.814815
