Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.148148,0.148148,0.148148,0.000000,0.148148
16,0.132144,0.132945,0.131344,0.000001,0.148148
17,0.266018,0.267027,0.265008,0.000001,0.296296
18,0.292837,0.294532,0.291141,0.000003,0.351852
19,0.409351,0.411540,0.407163,0.000005,0.500000
20,0.365131,0.368081,0.362182,0.000009,0.351852
21,0.473836,0.477124,0.470548,0.000011,0.500000
22,0.478206,0.482098,0.474313,0.000015,0.555556
23,0.426548,0.430875,0.422220,0.000019,0.407407
24,0.528618,0.533114,0.524123,0.000020,0.555556
25,0.527070,0.531992,0.522148,0.000024,0.555556
26,0.618282,0.623514,0.613049,0.000027,0.703704
27,0.607047,0.612787,0.601308,0.000033,0.759259
28,0.689619,0.695699,0.683540,0.000037,0.759259
29,0.670679,0.677258,0.664100,0.000043,0.814815
30,0.746377,0.753274,0.739481,0.000048,0.814815
31,0.869454,0.876809,0.862099,0.000054,0.962963
32,0.923680,0.931747,0.915612,0.000065,1.111111
33,1.027603,1.036360,1.018846,0.000077,1.111111
34,0.916597,0.926179,0.907014,0.000092,1.111111
35,1.021285,1.031163,1.011408,0.000098,1.111111
36,1.059109,1.069504,1.048714,0.000108,1.259259
37,1.148403,1.159298,1.137508,0.000119,1.259259
38,1.228051,1.239580,1.216522,0.000133,1.462963
39,1.299095,1.311332,1.286857,0.000150,1.518519
40,1.362464,1.375440,1.349488,0.000168,1.574074
41,1.418988,1.432704,1.405272,0.000188,1.722222
42,1.469406,1.483843,1.454969,0.000208,1.777778
43,1.514378,1.529505,1.499251,0.000229,1.833333
44,1.554491,1.570270,1.538712,0.000249,1.981481
45,1.590271,1.606660,1.573883,0.000269,1.981481
46,1.622187,1.639142,1.605231,0.000287,2.037037
47,1.595098,1.612577,1.577620,0.000306,1.981481
48,1.626492,1.644305,1.608679,0.000317,1.981481
49,1.654495,1.672650,1.636339,0.000330,1.981481
50,1.679472,1.697969,1.660975,0.000342,1.981481
51,1.701751,1.720580,1.682923,0.000355,1.981481
52,1.721624,1.740769,1.702478,0.000367,1.981481
53,1.739350,1.758795,1.719905,0.000378,1.981481
54,1.755161,1.774886,1.735435,0.000389,1.981481
55,1.769264,1.789250,1.749277,0.000399,1.981481
56,1.781843,1.802071,1.761616,0.000409,1.981481
57,1.793064,1.813513,1.772615,0.000418,2.037037
58,1.803072,1.823724,1.782420,0.000427,2.037037
59,1.812000,1.832837,1.791162,0.000434,2.037037
60,1.819963,1.840969,1.798957,0.000441,2.037037
61,1.827066,1.848225,1.805906,0.000448,2.037037
62,1.833401,1.854699,1.812103,0.000454,2.037037
63,1.839052,1.860476,1.817628,0.000459,2.037037
64,1.844093,1.865630,1.822556,0.000464,2.037037
65,1.848589,1.870229,1.826949,0.000468,2.037037
66,1.852599,1.874331,1.830868,0.000472,2.037037
67,1.856177,1.877992,1.834362,0.000476,2.037037
68,1.859367,1.881257,1.837478,0.000479,2.037037
69,1.862214,1.884170,1.840257,0.000482,2.037037
70,1.864752,1.886769,1.842735,0.000485,2.037037
71,1.867017,1.889088,1.844945,0.000487,2.037037
72,1.869036,1.891156,1.846917,0.000489,2.037037
73,1.870838,1.893001,1.848675,0.000491,2.037037
74,1.872445,1.894647,1.850243,0.000493,2.037037
75,1.873878,1.896116,1.851641,0.000494,2.037037
76,1.875157,1.897425,1.852889,0.000496,2.037037
77,1.876297,1.898594,1.854001,0.000497,2.037037
78,1.877315,1.899636,1.854993,0.000498,2.037037
79,1.730074,1.752418,1.707730,0.000499,1.888889
80,1.895035,1.917047,1.873023,0.000485,2.037037
81,1.745880,1.768023,1.723738,0.000490,1.888889
82,1.760986,1.782872,1.739099,0.000479,1.888889
83,1.774459,1.796176,1.752743,0.000472,1.888889
84,1.730922,1.752534,1.709310,0.000467,1.833333
85,1.747643,1.769069,1.726218,0.000459,1.888889
86,1.558855,1.580170,1.537540,0.000454,1.685185
87,1.742312,1.763106,1.721518,0.000432,1.981481
88,1.609655,1.630454,1.588856,0.000433,1.833333
89,1.898735,1.919224,1.878247,0.000420,2.148148
90,2.008440,2.029396,1.987483,0.000439,2.351852
91,2.161849,2.183462,2.140236,0.000467,2.574074
92,2.354242,2.376781,2.331703,0.000508,2.740741
93,2.581407,2.605195,2.557619,0.000566,3.018519
94,2.728477,2.753867,2.703088,0.000645,3.240741
95,2.804105,2.831125,2.777085,0.000730,3.314815
96,2.723414,2.751880,2.694949,0.000810,3.185185
97,2.744033,2.773377,2.714689,0.000861,3.240741
98,2.817980,2.848060,2.787901,0.000905,3.296296
99,2.772828,2.803675,2.741981,0.000952,3.240741
100,2.584405,2.615733,2.553078,0.000981,3.037037
101,2.564485,2.595721,2.533249,0.000976,2.981481
102,2.398568,2.429684,2.367453,0.000968,2.777778
103,2.398723,2.429353,2.368093,0.000938,2.759259
104,2.195157,2.225395,2.164920,0.000914,2.555556
105,2.013582,2.043044,1.984119,0.000868,2.388889
106,2.055324,2.083766,2.026882,0.000809,2.444444
107,1.999965,2.027658,1.972273,0.000767,2.388889
108,1.895031,1.921991,1.868070,0.000727,2.333333
