Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.129630,0.129630,0.129630,0.000000,0.129630
23,0.115626,0.116327,0.114926,0.000000,0.129630
24,0.103136,0.104019,0.102253,0.000001,0.129630
25,0.221624,0.222589,0.220659,0.000001,0.259259
26,0.197683,0.199158,0.196209,0.000002,0.259259
27,0.176329,0.178023,0.174635,0.000003,0.259259
28,0.286911,0.288697,0.285124,0.000003,0.388889
29,0.255917,0.258140,0.253695,0.000005,0.259259
30,0.487531,0.489948,0.485114,0.000006,0.518519
31,0.564495,0.567898,0.561092,0.000012,0.648148
32,0.503516,0.507818,0.499213,0.000019,0.518519
33,0.838013,0.842716,0.833309,0.000022,0.907407
34,0.877116,0.883288,0.870944,0.000038,0.907407
35,1.041625,1.048888,1.034362,0.000053,1.166667
36,1.188363,1.196944,1.179783,0.000074,1.296296
37,1.319250,1.329239,1.309261,0.000100,1.425926
38,1.565627,1.577036,1.554218,0.000130,1.685185
39,1.785390,1.798621,1.772158,0.000175,2.074074
40,1.981412,1.996653,1.966171,0.000232,2.074074
41,2.156260,2.173562,2.138958,0.000299,2.333333
42,2.312219,2.331554,2.292885,0.000374,2.722222
43,2.451332,2.472625,2.430038,0.000453,2.592593
44,2.445786,2.468939,2.422634,0.000536,2.592593
45,2.440840,2.465356,2.416325,0.000601,2.592593
46,2.436429,2.461963,2.410894,0.000652,2.722222
47,2.562123,2.588428,2.535818,0.000692,2.851852
48,2.674239,2.701480,2.646999,0.000742,3.111111
49,2.774244,2.802512,2.745977,0.000799,3.240741
50,2.733817,2.763148,2.704486,0.000860,3.370370
51,2.697756,2.727798,2.667714,0.000903,3.370370
52,2.795221,2.825724,2.764718,0.000930,3.629630
53,2.882157,2.913273,2.851041,0.000968,3.629630
54,2.959702,2.991525,2.927879,0.001013,3.629630
55,3.028870,3.061447,2.996292,0.001061,3.759259
56,3.090566,3.123914,3.057218,0.001112,3.759259
57,3.145597,3.179707,3.111488,0.001163,3.759259
58,3.194684,3.229532,3.159836,0.001214,3.759259
59,3.238468,3.274020,3.202916,0.001264,3.759259
60,3.277523,3.313739,3.241306,0.001312,3.759259
61,3.312358,3.349195,3.275521,0.001357,3.888889
62,3.343431,3.380844,3.306017,0.001400,3.888889
63,3.371146,3.409092,3.333201,0.001440,3.888889
64,3.395868,3.434302,3.357435,0.001477,3.888889
65,3.417919,3.456800,3.379039,0.001512,3.888889
66,3.437589,3.476877,3.398300,0.001544,3.888889
67,3.455133,3.494793,3.415473,0.001573,3.888889
68,3.470782,3.510779,3.430785,0.001600,3.888889
69,3.355111,3.395414,3.314809,0.001624,3.759259
70,3.381565,3.421824,3.341307,0.001621,3.759259
71,3.405162,3.445450,3.364873,0.001623,3.759259
72,3.426209,3.466579,3.385839,0.001630,3.759259
73,3.444983,3.485469,3.404496,0.001639,3.759259
74,3.461728,3.502354,3.421103,0.001650,3.759259
75,3.476665,3.517442,3.435888,0.001663,3.759259
76,3.489988,3.530922,3.449054,0.001676,3.759259
77,3.631502,3.672594,3.590410,0.001689,3.888889
78,3.757729,3.799300,3.716157,0.001728,4.018519
79,3.870320,3.912592,3.828047,0.001787,4.277778
80,3.970748,4.013862,3.927634,0.001859,4.407407
81,3.541809,3.585843,3.497776,0.001939,4.018519
82,3.159206,3.202895,3.115518,0.001909,3.629630
83,2.817934,2.860476,2.775392,0.001810,3.240741
84,2.513528,2.554413,2.472642,0.001672,2.981481
85,3.390153,3.429067,3.351238,0.001514,4.000000
86,4.079488,4.118733,4.040243,0.001540,4.666667
87,4.657321,4.698685,4.615958,0.001711,5.296296
88,5.117178,5.161834,5.072523,0.001994,5.740741
89,5.379212,5.427694,5.330729,0.002351,6.037037
90,5.575902,5.628001,5.523802,0.002714,6.296296
91,5.621715,5.677093,5.566337,0.003067,6.314815
92,5.625542,5.683525,5.567559,0.003362,6.259259
93,5.610437,5.670422,5.550452,0.003598,6.259259
94,5.467334,5.528826,5.405843,0.003781,6.055556
95,5.321172,5.383466,5.258878,0.003881,5.888889
96,5.172280,5.234838,5.109721,0.003914,5.740741
97,5.020953,5.083358,4.958549,0.003894,5.592593
98,4.867455,4.929374,4.805536,0.003834,5.462963
99,4.619428,4.680597,4.558258,0.003742,5.185185
100,4.398193,4.458190,4.338197,0.003600,4.981481
101,4.219376,4.277928,4.160824,0.003428,4.833333
102,4.041357,4.098341,3.984373,0.003247,4.611111
103,3.882568,3.937886,3.827251,0.003060,4.407407
104,3.740933,3.794547,3.687319,0.002874,4.296296
105,3.614598,3.666514,3.562681,0.002695,4.111111
106,3.520428,3.570685,3.470172,0.002526,4.000000
107,3.417913,3.466607,3.369218,0.002371,3.870370
108,3.215360,3.262556,3.168165,0.002227,3.703704
