Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000,0.000000,0.000000
26,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.013503,0.014178,0.012828,0.000000,0.000000
28,0.024818,0.025618,0.024018,0.000001,0.000000
29,0.034300,0.035121,0.033479,0.000001,0.000000
30,0.042245,0.043040,0.041450,0.000001,0.000000
31,0.062406,0.063614,0.061198,0.000001,0.000000
32,0.079300,0.080619,0.077982,0.000002,0.083333
33,0.093457,0.094769,0.092144,0.000002,0.083333
34,0.118822,0.120501,0.117144,0.000003,0.083333
35,0.140078,0.141841,0.138315,0.000003,0.083333
36,0.171393,0.173545,0.169240,0.000005,0.166667
37,0.197633,0.199864,0.195402,0.000005,0.166667
38,0.233125,0.235702,0.230547,0.000007,0.166667
39,0.262865,0.265488,0.260243,0.000007,0.250000
40,0.301290,0.304209,0.298371,0.000009,0.250000
41,0.337989,0.341047,0.334931,0.000009,0.333333
42,0.368742,0.371730,0.365754,0.000009,0.333333
43,0.421518,0.425156,0.417880,0.000013,0.416667
44,0.465742,0.469508,0.461976,0.000014,0.416667
45,0.529807,0.534303,0.525310,0.000020,0.527778
46,0.583490,0.588117,0.578864,0.000021,0.527778
47,0.655481,0.660772,0.650191,0.000028,0.611111
48,0.715807,0.721169,0.710445,0.000029,0.611111
49,0.793364,0.799299,0.787429,0.000035,0.694444
50,0.867356,0.873555,0.861157,0.000038,0.777778
51,0.942862,0.949283,0.936440,0.000041,0.861111
52,1.019636,1.026246,1.013025,0.000044,0.944444
53,1.097472,1.104242,1.090703,0.000046,1.027778
54,1.176200,1.183105,1.169295,0.000048,1.111111
55,1.255674,1.262693,1.248654,0.000049,1.194444
56,1.335773,1.342889,1.328657,0.000051,1.250000
57,1.420897,1.428224,1.413571,0.000054,1.333333
58,1.514733,1.522460,1.507006,0.000060,1.416667
59,1.615870,1.624085,1.607654,0.000068,1.500000
60,1.727624,1.736491,1.718757,0.000079,1.611111
61,1.852778,1.862492,1.843063,0.000094,1.750000
62,1.989159,1.999778,1.978539,0.000113,1.861111
63,2.139449,2.151097,2.127802,0.000136,2.000000
64,2.305897,2.318724,2.293070,0.000165,2.138889
65,2.490384,2.504548,2.476219,0.000201,2.305556
66,2.698989,2.714790,2.683188,0.000250,2.500000
67,2.918803,2.936012,2.901595,0.000296,2.694444
68,3.157011,3.175715,3.138308,0.000350,2.916667
69,3.419636,3.440083,3.399188,0.000418,3.166667
70,3.711721,3.734236,3.689207,0.000507,3.444444
71,4.019493,4.043840,3.995146,0.000593,3.777778
72,4.340408,4.366365,4.314452,0.000674,4.055556
73,4.663336,4.690425,4.636247,0.000734,4.388889
74,4.987950,5.015856,4.960043,0.000779,4.750000
75,5.349985,5.379558,5.320412,0.000875,5.138889
76,5.743377,5.775017,5.711738,0.001001,5.555556
77,6.167547,6.201500,6.133594,0.001153,6.000000
78,6.617507,6.653780,6.581235,0.001316,6.472222
79,7.084578,7.122910,7.046246,0.001469,6.666667
80,7.552483,7.592222,7.512744,0.001579,6.666667
81,8.034591,8.075701,7.993481,0.001690,7.777778
82,8.524099,8.566359,8.481840,0.001786,7.777778
83,9.015307,9.058404,8.972211,0.001857,8.916667
84,9.503439,9.547028,9.459850,0.001900,8.944444
85,8.535547,8.579159,8.491934,0.001902,8.055556
86,7.711114,7.754120,7.668108,0.001849,7.250000
87,6.973845,7.015794,6.931895,0.001760,6.083333
88,6.494287,6.534964,6.453609,0.001655,6.250000
89,5.886802,5.926136,5.847468,0.001547,5.666667
90,5.371837,5.409732,5.333942,0.001436,5.111111
91,4.975680,5.012032,4.939328,0.001321,4.694444
92,4.563468,4.597648,4.529289,0.001168,4.305556
93,4.170082,4.201817,4.138347,0.001007,3.944444
94,3.889308,3.918630,3.859986,0.000860,3.638889
95,3.693124,3.720055,3.666192,0.000725,3.444444
96,3.530272,3.554921,3.505622,0.000608,3.277778
97,3.487687,3.510211,3.465162,0.000507,3.166667
98,3.457274,3.477855,3.436694,0.000424,3.166667
99,3.413786,3.432612,3.394960,0.000354,3.138889
100,3.470451,3.487711,3.453192,0.000298,3.166667
101,2.934601,2.950475,2.918728,0.000252,2.666667
102,2.974391,2.989048,2.959733,0.000215,2.666667
103,3.007733,3.021331,2.994135,0.000185,2.666667
104,2.480117,2.492798,2.467436,0.000161,2.111111
105,2.503529,2.515420,2.491637,0.000141,2.138889
106,2.495370,2.506586,2.484153,0.000126,2.111111
107,2.511809,2.522450,2.501168,0.000113,2.111111
108,1.970029,1.980183,1.959876,0.000103,1.555556
