Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.032007,0.033608,0.030407,0.000003,0.000000
7,0.073103,0.075511,0.070696,0.000006,0.000000
8,0.145329,0.149404,0.141254,0.000017,0.148148
9,0.257964,0.264439,0.251489,0.000042,0.222222
10,0.336204,0.345357,0.327052,0.000084,0.259259
11,0.535630,0.547915,0.523345,0.000151,0.333333
12,0.676880,0.692754,0.661006,0.000252,0.481481
13,0.896667,0.915923,0.877412,0.000371,0.703704
14,1.098919,1.122046,1.075792,0.000535,0.925926
15,1.361498,1.388894,1.334103,0.000751,1.222222
16,1.605299,1.636989,1.573609,0.001004,1.444444
17,1.863413,1.899281,1.827545,0.001287,1.703704
18,2.037642,2.078096,1.997187,0.001637,1.851852
19,2.307287,2.352343,2.262231,0.002030,2.111111
20,2.667738,2.717248,2.618229,0.002451,2.444444
21,3.012271,3.066311,2.958232,0.002920,2.740741
22,3.188175,3.246633,3.129718,0.003417,2.888889
23,3.443130,3.505552,3.380709,0.003896,3.185185
24,3.701988,3.768083,3.635892,0.004369,3.407407
25,3.897832,3.967677,3.827986,0.004878,3.666667
26,4.139384,4.212943,4.065825,0.005411,3.518519
27,4.387734,4.464925,4.310543,0.005958,3.888889
28,4.670448,4.750910,4.589985,0.006474,3.888889
29,4.922031,5.005838,4.838225,0.007024,4.259259
30,5.244318,5.331208,5.157428,0.007550,4.481481
31,5.415813,5.505657,5.325969,0.008072,4.777778
32,5.696347,5.789087,5.603608,0.008601,4.925926
33,5.864146,5.959762,5.768530,0.009142,5.111111
34,6.133781,6.232014,6.035548,0.009650,5.481481
35,6.247996,6.348757,6.147235,0.010153,5.481481
36,6.496657,6.599686,6.393628,0.010615,5.814815
37,6.623465,6.728701,6.518229,0.011075,6.037037
38,6.733851,6.841076,6.626625,0.011497,6.185185
39,6.823359,6.932302,6.714417,0.011869,6.111111
40,6.933539,7.044178,6.822900,0.012241,6.222222
41,7.022886,7.135067,6.910706,0.012585,6.333333
42,7.124938,7.238456,7.011419,0.012886,6.555556
43,7.199911,7.314557,7.085265,0.013144,6.740741
44,7.208618,7.324197,7.093039,0.013359,6.777778
45,7.231447,7.348039,7.114856,0.013594,6.851852
46,7.265348,7.382906,7.147791,0.013820,6.888889
47,7.382003,7.500421,7.263584,0.014023,7.000000
48,7.394350,7.513508,7.275192,0.014199,7.000000
49,7.412032,7.531809,7.292254,0.014347,7.037037
50,7.433895,7.554182,7.313608,0.014469,7.074074
51,7.421999,7.542701,7.301298,0.014569,7.074074
52,7.412674,7.533709,7.291639,0.014649,7.074074
53,7.413365,7.534917,7.291813,0.014775,6.888889
54,7.495983,7.618097,7.373869,0.014912,6.962963
55,7.555721,7.678622,7.432820,0.015105,7.037037
56,7.626559,7.750288,7.502829,0.015309,7.148148
57,7.677062,7.801822,7.552303,0.015565,7.185185
58,7.740660,7.866459,7.614861,0.015825,7.222222
59,7.822525,7.949532,7.695517,0.016131,7.222222
60,7.918710,8.046904,7.790516,0.016434,7.259259
61,7.989085,8.118355,7.859814,0.016711,7.259259
62,8.068260,8.198464,7.938057,0.016953,7.333333
63,8.154336,8.285326,8.023346,0.017158,7.444444
64,8.216785,8.348675,8.084895,0.017395,7.518519
65,8.289748,8.422517,8.156978,0.017628,7.740741
66,8.333915,8.467481,8.200350,0.017840,7.888889
67,8.347507,8.481761,8.213253,0.018024,7.888889
68,8.358162,8.492746,8.223578,0.018113,7.925926
69,8.366515,8.501230,8.231800,0.018148,7.962963
70,8.328025,8.462516,8.193534,0.018088,7.962963
71,8.281847,8.415962,8.147731,0.017987,7.962963
72,8.229642,8.363340,8.095944,0.017875,7.925926
73,8.209749,8.343043,8.076454,0.017767,7.740741
74,8.223189,8.356120,8.090258,0.017671,7.851852
75,8.188687,8.321057,8.056316,0.017522,7.851852
76,8.145635,8.277396,8.013873,0.017361,7.851852
77,8.095880,8.227059,7.964702,0.017208,7.555556
78,8.114946,8.245603,7.984290,0.017071,7.592593
79,8.092856,8.223063,7.962648,0.016954,7.555556
80,8.104573,8.234404,7.974742,0.016856,7.555556
81,8.113759,8.243279,7.984238,0.016776,7.555556
82,7.776881,7.896271,7.657491,0.014254,7.296296
83,7.205744,7.311501,7.099987,0.011185,6.629630
84,6.644147,6.735602,6.552692,0.008364,6.111111
85,5.952853,6.030676,5.875030,0.006056,5.481481
86,6.417314,6.515501,6.319128,0.009641,6.000000
87,7.420432,7.557260,7.283604,0.018722,7.000000
88,8.818853,8.995460,8.642246,0.031190,8.444444
89,10.123879,10.332459,9.915298,0.043506,9.740741
90,11.449881,11.683116,11.216646,0.054399,11.074074
91,12.561190,12.811125,12.311254,0.062468,12.185185
92,13.381189,13.639809,13.122568,0.066885,13.000000
93,13.905829,14.167322,13.644336,0.068379,13.407407
94,14.243047,14.502773,13.983321,0.067457,13.037037
95,14.530500,14.784253,14.276747,0.064391,13.259259
96,14.516709,14.761080,14.272338,0.059717,12.740741
97,14.499039,14.731957,14.266121,0.054251,12.222222
98,14.306174,14.525701,14.086646,0.048192,12.148148
99,14.034035,14.239557,13.828514,0.042239,12.259259
100,13.514565,13.706160,13.322969,0.036709,12.111111
101,12.840293,13.017530,12.663057,0.031413,11.703704
102,12.233737,12.401361,12.066113,0.028098,11.333333
103,11.520230,11.676578,11.363881,0.024445,10.592593
104,10.908063,11.052715,10.763411,0.020924,10.111111
105,10.390203,10.527740,10.252666,0.018916,9.740741
106,9.757203,9.885874,9.628532,0.016556,9.185185
107,9.062974,9.182143,8.943805,0.014201,8.518519
108,8.476895,8.586724,8.367065,0.012063,8.000000
