Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.111111,0.111111,0.111111,0.000000,0.111111
9,0.087106,0.088306,0.085905,0.000001,0.111111
10,0.179398,0.180728,0.178067,0.000002,0.222222
11,0.140639,0.142840,0.138438,0.000005,0.222222
12,0.221365,0.223664,0.219066,0.000005,0.222222
13,0.173539,0.176534,0.170545,0.000009,0.222222
14,0.247157,0.250162,0.244153,0.000009,0.333333
15,0.304870,0.308431,0.301310,0.000013,0.333333
16,0.350114,0.354432,0.345797,0.000019,0.444444
17,0.385583,0.390659,0.380508,0.000026,0.444444
18,0.413389,0.419150,0.407629,0.000033,0.555556
19,0.435188,0.441539,0.428837,0.000040,0.555556
20,0.452277,0.459125,0.445429,0.000047,0.555556
21,0.465674,0.472933,0.458415,0.000053,0.555556
22,0.476177,0.483772,0.468581,0.000058,0.555556
23,0.484410,0.492279,0.476541,0.000062,0.555556
24,0.490865,0.498955,0.482775,0.000065,0.555556
25,0.495925,0.504192,0.487657,0.000068,0.555556
26,0.536929,0.545338,0.528520,0.000071,0.592593
27,0.532037,0.540818,0.523256,0.000077,0.592593
28,0.528202,0.537170,0.519233,0.000080,0.592593
29,0.562232,0.571287,0.553177,0.000082,0.629630
30,0.551873,0.561216,0.542530,0.000087,0.629630
31,0.580790,0.590234,0.571345,0.000089,0.740741
32,0.566421,0.576127,0.556716,0.000094,0.740741
33,0.555158,0.564922,0.545393,0.000095,0.740741
34,0.583364,0.593089,0.573640,0.000095,0.740741
35,0.568440,0.578331,0.558548,0.000098,0.740741
36,0.593777,0.603669,0.583885,0.000098,0.740741
37,0.576603,0.586667,0.566539,0.000101,0.740741
38,0.600176,0.610229,0.590123,0.000101,0.777778
39,0.581620,0.591825,0.571414,0.000104,0.740741
40,0.604109,0.614283,0.593936,0.000103,0.777778
41,0.621740,0.632046,0.611434,0.000106,0.777778
42,0.635562,0.646068,0.625055,0.000110,0.814815
43,0.646397,0.657121,0.635673,0.000115,0.814815
44,0.617854,0.628784,0.606925,0.000119,0.814815
45,0.669553,0.680414,0.658691,0.000118,0.851852
46,0.636007,0.647180,0.624835,0.000125,0.814815
47,0.868969,0.880101,0.857836,0.000124,1.037037
48,1.273821,1.286639,1.261003,0.000164,1.481481
49,1.739354,1.756393,1.722314,0.000290,1.925926
50,2.215419,2.238474,2.192365,0.000532,2.407407
51,2.699742,2.729733,2.669751,0.000899,2.888889
52,3.190539,3.228001,3.153076,0.001403,3.481481
53,3.649373,3.694656,3.604090,0.002051,4.000000
54,4.009076,4.062129,3.956024,0.002815,4.296296
55,4.402177,4.462224,4.342130,0.003606,4.629630
56,4.673312,4.740228,4.606395,0.004478,5.518519
57,4.959942,5.032750,4.887133,0.005301,5.629630
58,5.147609,5.225899,5.069319,0.006129,6.185185
59,5.368804,5.451628,5.285981,0.006860,6.333333
60,5.505174,5.592238,5.418109,0.007580,6.407407
61,5.389858,5.480391,5.299326,0.008196,6.222222
62,5.114272,5.206077,5.022467,0.008428,5.851852
63,4.638966,4.729702,4.548231,0.008233,5.222222
64,4.229313,4.316330,4.142296,0.007572,4.740741
65,3.426684,3.508792,3.344575,0.006742,4.444444
66,2.797462,2.871721,2.723203,0.005514,3.666667
67,2.341220,2.406816,2.275624,0.004303,3.407407
68,1.946512,2.003823,1.889201,0.003285,3.518519
69,1.637080,1.686691,1.587470,0.002461,2.259259
70,1.394501,1.437228,1.351774,0.001826,1.925926
71,1.204331,1.241062,1.167601,0.001349,1.740741
72,1.092284,1.123884,1.060685,0.000999,1.555556
73,0.967408,0.994850,0.939967,0.000753,1.407407
74,0.869511,0.893430,0.845593,0.000572,1.296296
75,0.792765,0.813739,0.771792,0.000440,1.185185
76,0.732600,0.751140,0.714060,0.000344,1.148148
77,0.685433,0.701984,0.668883,0.000274,1.037037
78,0.648457,0.663397,0.633517,0.000223,0.925926
79,0.619469,0.633117,0.605821,0.000186,0.888889
80,0.596744,0.609365,0.584124,0.000159,0.888889
81,0.578929,0.590739,0.567120,0.000139,0.888889
82,0.564963,0.576136,0.553790,0.000125,0.888889
83,0.554014,0.564691,0.543338,0.000114,0.888889
84,0.545431,0.555721,0.535141,0.000106,0.888889
85,0.538702,0.548692,0.528712,0.000100,0.888889
86,0.533427,0.543185,0.523669,0.000095,0.888889
87,0.529291,0.538869,0.519714,0.000092,0.888889
88,0.526049,0.535488,0.516611,0.000089,0.888889
89,0.523508,0.532838,0.514178,0.000087,0.888889
90,0.521515,0.530762,0.512269,0.000085,0.888889
91,0.519953,0.529134,0.510773,0.000084,0.888889
92,0.518729,0.527859,0.509599,0.000083,0.888889
93,0.517769,0.526860,0.508678,0.000083,0.888889
94,0.517016,0.526076,0.507957,0.000082,0.888889
95,0.516426,0.525462,0.507391,0.000082,0.888889
96,0.515964,0.524981,0.506947,0.000081,0.888889
97,0.515601,0.524604,0.506599,0.000081,0.888889
98,0.515317,0.524308,0.506326,0.000081,0.888889
99,0.515094,0.524077,0.506112,0.000081,0.888889
100,0.514920,0.523895,0.505944,0.000081,0.888889
101,0.514783,0.523752,0.505813,0.000080,0.888889
102,0.514675,0.523641,0.505710,0.000080,0.888889
103,0.514591,0.523553,0.505629,0.000080,0.888889
104,0.514525,0.523485,0.505566,0.000080,0.888889
105,0.514473,0.523431,0.505516,0.000080,0.888889
106,0.514433,0.523389,0.505477,0.000080,0.888889
107,0.514401,0.523356,0.505446,0.000080,0.888889
108,0.514376,0.523330,0.505423,0.000080,0.888889
