Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.028986,0.028986,0.028986,0.000000,0.028986
22,0.024085,0.024330,0.023840,0.000000,0.028986
23,0.020012,0.020300,0.019724,0.000000,0.028986
24,0.045614,0.045907,0.045321,0.000000,0.057971
25,0.037902,0.038358,0.037445,0.000000,0.057971
26,0.060479,0.060975,0.059982,0.000000,0.057971
27,0.079238,0.079895,0.078581,0.000000,0.086957
28,0.094826,0.095690,0.093962,0.000001,0.115942
29,0.107778,0.108854,0.106702,0.000001,0.115942
30,0.118540,0.119817,0.117264,0.000002,0.144928
31,0.156468,0.157928,0.155009,0.000002,0.173913
32,0.187983,0.189778,0.186189,0.000003,0.202899
33,0.214170,0.216349,0.211990,0.000005,0.231884
34,0.235928,0.238489,0.233368,0.000007,0.260870
35,0.282994,0.285910,0.280077,0.000009,0.318841
36,0.322101,0.325507,0.318696,0.000012,0.376812
37,0.354596,0.358523,0.350669,0.000015,0.405797
38,0.381597,0.386028,0.377165,0.000020,0.434783
39,0.433018,0.437913,0.428122,0.000024,0.492754
40,0.446759,0.452231,0.441286,0.000030,0.521739
41,0.487162,0.493073,0.481250,0.000035,0.550725
42,0.520733,0.527144,0.514323,0.000041,0.579710
43,0.577614,0.584525,0.570704,0.000048,0.637681
44,0.479950,0.487488,0.472412,0.000057,0.550725
45,0.398799,0.406262,0.391336,0.000056,0.463768
46,0.331369,0.338428,0.324310,0.000050,0.405797
47,0.275341,0.281841,0.268840,0.000042,0.376812
48,0.402698,0.408580,0.396817,0.000035,0.492754
49,0.334609,0.340566,0.328653,0.000035,0.434783
50,0.451946,0.457647,0.446245,0.000032,0.550725
51,0.375530,0.381616,0.369444,0.000037,0.492754
52,0.485948,0.491919,0.479976,0.000036,0.608696
53,0.403783,0.410224,0.397341,0.000041,0.521739
54,0.509423,0.515772,0.503074,0.000040,0.695652
55,0.423289,0.430099,0.416479,0.000046,0.521739
56,0.525631,0.532327,0.518936,0.000045,0.695652
57,0.436756,0.443877,0.429636,0.000051,0.521739
58,0.536822,0.543796,0.529847,0.000049,0.695652
59,0.446055,0.453416,0.438694,0.000054,0.521739
60,0.544548,0.551734,0.537362,0.000052,0.695652
61,0.452475,0.460014,0.444935,0.000057,0.521739
62,0.549882,0.557223,0.542542,0.000054,0.695652
63,0.456907,0.464576,0.449238,0.000059,0.521739
64,0.379652,0.387104,0.372200,0.000056,0.521739
65,0.315460,0.322435,0.308485,0.000049,0.347826
66,0.551976,0.558356,0.545596,0.000041,0.637681
67,0.661546,0.668608,0.654483,0.000050,0.840580
68,0.839545,0.847652,0.831438,0.000066,0.956522
69,1.016434,1.026219,1.006648,0.000096,1.275362
70,1.192399,1.204229,1.180568,0.000140,1.246377
71,1.367597,1.381678,1.353517,0.000198,1.420290
72,1.571144,1.587593,1.554694,0.000271,1.623188
73,1.769259,1.788319,1.750200,0.000363,1.826087
74,1.962863,1.984647,1.941079,0.000475,2.028986
75,2.123731,2.148288,2.099174,0.000603,2.202899
76,2.228415,2.255595,2.201234,0.000739,2.318841
77,2.315398,2.344809,2.285986,0.000865,2.405797
78,2.387673,2.418986,2.356361,0.000980,2.463768
79,2.418743,2.451674,2.385812,0.001084,2.492754
80,2.444559,2.478720,2.410399,0.001167,2.521739
81,2.379054,2.414167,2.343942,0.001233,2.492754
82,2.353610,2.389048,2.318173,0.001256,2.463768
83,2.361454,2.396994,2.325914,0.001263,2.463768
84,2.396957,2.432604,2.361310,0.001271,2.492754
85,2.455442,2.491332,2.419553,0.001288,2.550725
86,2.562010,2.598346,2.525674,0.001320,2.666667
87,2.795487,2.832646,2.758328,0.001381,2.898551
88,2.960501,2.999385,2.921617,0.001512,3.130435
89,3.242542,3.283413,3.201671,0.001670,3.391304
90,3.708779,3.752424,3.665134,0.001905,3.855072
91,3.632415,3.680357,3.584473,0.002298,3.768116
92,4.496500,4.546800,4.446200,0.002530,4.637681
93,5.388396,5.444894,5.331897,0.003192,5.507246
94,6.535285,6.600702,6.469869,0.004279,6.637681
95,7.691155,7.768662,7.613648,0.006007,8.000000
96,8.158834,8.250354,8.067314,0.008376,9.217391
97,9.561930,9.664600,9.459260,0.010541,10.521739
98,10.206048,10.323578,10.088518,0.013813,11.130435
99,12.016620,12.146938,11.886301,0.016983,13.681159
100,13.347143,13.495625,13.198660,0.022047,15.246377
101,15.032409,15.199609,14.865208,0.027956,17.391304
102,15.997943,16.186236,15.809651,0.035454,18.057971
103,17.148050,17.354866,16.941233,0.042773,19.710145
104,17.639925,17.864761,17.415089,0.050551,20.086957
105,18.251532,18.490583,18.012481,0.057145,20.666667
106,18.817698,19.069228,18.566169,0.063267,21.478261
107,20.099730,20.362398,19.837062,0.068994,22.318841
108,21.107022,21.383635,20.830409,0.076515,23.362319
