Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.010101,0.010101,0.010101,0.000000,0.010101
8,0.019607,0.019637,0.019577,0.000000,0.020202
9,0.048755,0.048819,0.048690,0.000000,0.050505
10,0.076185,0.076341,0.076029,0.000000,0.080808
11,0.132302,0.132570,0.132034,0.000000,0.141414
12,0.164910,0.165375,0.164446,0.000000,0.171717
13,0.225901,0.226554,0.225247,0.000000,0.232323
14,0.283297,0.284203,0.282391,0.000001,0.292929
15,0.337311,0.338505,0.336118,0.000001,0.363636
16,0.398244,0.399744,0.396745,0.000002,0.424242
17,0.475789,0.477624,0.473954,0.000003,0.525253
18,0.548764,0.550989,0.546540,0.000005,0.575758
19,0.617440,0.620085,0.614795,0.000007,0.646465
20,0.692170,0.695253,0.689087,0.000010,0.727273
21,0.772597,0.776144,0.769051,0.000013,0.818182
22,0.858387,0.862427,0.854347,0.000016,0.919192
23,0.949223,0.953789,0.944657,0.000021,1.010101
24,1.044807,1.049934,1.039681,0.000026,1.111111
25,1.134760,1.140483,1.129037,0.000033,1.222222
26,1.229513,1.235852,1.223174,0.000040,1.343434
27,1.328784,1.335763,1.321805,0.000049,1.444444
28,1.432307,1.439953,1.424661,0.000058,1.545455
29,1.529730,1.538072,1.521388,0.000070,1.696970
30,1.621413,1.630464,1.612361,0.000082,1.787879
31,1.717794,1.727561,1.708027,0.000095,1.878788
32,1.808496,1.818989,1.798004,0.000110,1.969697
33,1.893854,1.905074,1.882634,0.000126,2.050505
34,1.974183,1.986125,1.962240,0.000143,2.131313
35,2.049778,2.062433,2.037123,0.000160,2.232323
36,2.131020,2.144373,2.117667,0.000178,2.323232
37,2.207475,2.221522,2.193428,0.000197,2.393939
38,2.279425,2.294158,2.264693,0.000217,2.474747
39,2.347136,2.362541,2.331731,0.000237,2.535354
40,2.410857,2.426919,2.394794,0.000258,2.626263
41,2.470823,2.487525,2.454122,0.000279,2.686869
42,2.527256,2.544577,2.509935,0.000300,2.737374
43,2.580364,2.598285,2.562443,0.000321,2.797980
44,2.630343,2.648842,2.611843,0.000342,2.858586
45,2.677376,2.696432,2.658320,0.000363,2.949495
46,2.721639,2.741230,2.702047,0.000384,2.979798
47,2.763293,2.783398,2.743188,0.000404,3.010101
48,2.802493,2.823090,2.781895,0.000424,3.040404
49,2.839383,2.860452,2.818314,0.000444,3.070707
50,2.874099,2.895620,2.852579,0.000463,3.131313
51,2.906770,2.928722,2.884819,0.000482,3.151515
52,2.937516,2.959879,2.915154,0.000500,3.181818
53,2.966450,2.989205,2.943695,0.000518,3.202020
54,2.993680,3.016809,2.970551,0.000535,3.222222
55,3.029406,3.052891,3.005920,0.000552,3.252525
56,3.063027,3.086862,3.039191,0.000568,3.292929
57,3.094666,3.118845,3.070488,0.000585,3.333333
58,3.124442,3.148955,3.099929,0.000601,3.373737
59,3.152463,3.177300,3.127626,0.000617,3.454545
60,3.178833,3.203984,3.153682,0.000633,3.474747
61,3.203649,3.229104,3.178194,0.000648,3.484848
62,3.227003,3.252751,3.201256,0.000663,3.494949
63,3.248981,3.275010,3.222952,0.000678,3.505051
64,3.269664,3.295963,3.243365,0.000692,3.515152
65,3.299229,3.325788,3.272671,0.000705,3.535354
66,3.327053,3.353869,3.300236,0.000719,3.555556
67,3.343135,3.370209,3.316062,0.000733,3.565657
68,3.368371,3.395687,3.341056,0.000746,3.585859
69,3.169898,3.197454,3.142343,0.000759,3.383838
70,2.983120,3.010682,2.955558,0.000760,3.191919
71,2.807347,2.834734,2.779960,0.000750,3.010101
72,5.187385,5.214453,5.160317,0.000733,5.383838
73,7.427186,7.456892,7.397480,0.000882,7.636364
74,9.524911,9.560412,9.489410,0.001260,9.747475
75,11.488931,11.532562,11.445300,0.001904,11.717172
76,13.327125,13.380338,13.273912,0.002832,13.545455
77,15.067110,15.130744,15.003475,0.004049,15.282828
78,16.664165,16.738709,16.589622,0.005557,16.939394
79,17.954997,18.040622,17.869373,0.007332,18.252525
80,18.967750,19.064141,18.871359,0.009291,19.303030
81,19.759213,19.865755,19.652670,0.011351,20.191919
82,20.352525,20.468464,20.236586,0.013442,20.818182
83,20.779565,20.904064,20.655066,0.015500,21.313131
84,21.070331,21.202525,20.938138,0.017475,21.696970
85,21.242955,21.381987,21.103922,0.019330,21.979798
86,21.314498,21.459536,21.169459,0.021036,22.171717
87,21.301017,21.451262,21.150772,0.022574,22.262626
88,21.217624,21.372318,21.062930,0.023930,22.323232
89,21.068437,21.226870,20.910005,0.025101,22.242424
90,20.867435,21.028938,20.705933,0.026083,21.979798
91,20.627772,20.791722,20.463821,0.026880,21.686869
92,20.361825,20.527653,20.195998,0.027499,21.484848
93,20.071145,20.238335,19.903955,0.027953,21.262626
94,19.757189,19.925273,19.589105,0.028252,21.000000
95,19.431429,19.599980,19.262878,0.028409,20.707071
96,19.094560,19.263195,18.925926,0.028438,20.383838
97,18.747237,18.915612,18.578863,0.028350,20.020202
98,18.400178,18.567982,18.232374,0.028158,19.656566
99,18.053366,18.220329,17.886403,0.027877,19.262626
100,17.706787,17.872671,17.540904,0.027517,18.848485
101,17.360428,17.525024,17.195832,0.027092,18.444444
102,17.024376,17.187499,16.861252,0.026609,18.070707
103,16.698024,16.859522,16.536525,0.026082,17.707071
104,16.380800,16.540547,16.221053,0.025519,17.444444
105,16.062066,16.219957,15.904175,0.024930,17.131313
106,15.762113,15.918054,15.606171,0.024318,16.929293
107,15.469732,15.623658,15.315807,0.023693,16.717172
108,15.184479,15.336336,15.032621,0.023061,16.383838
