Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.192593,0.192593,0.192593,0.000000,0.192593
2,0.383356,0.384188,0.382524,0.000001,0.400000
3,0.557634,0.559457,0.555811,0.000003,0.577778
4,0.716851,0.719780,0.713922,0.000009,0.740741
5,0.862308,0.866401,0.858215,0.000017,0.933333
6,0.995195,1.000474,0.989916,0.000028,1.066667
7,1.116598,1.123060,1.110137,0.000042,1.200000
8,1.227509,1.235133,1.219885,0.000058,1.348148
9,1.328836,1.337591,1.320081,0.000077,1.451852
10,1.421405,1.431251,1.411559,0.000097,1.555556
11,1.505975,1.516867,1.495083,0.000119,1.644444
12,1.583237,1.595126,1.571347,0.000141,1.762963
13,1.653821,1.666658,1.640984,0.000165,1.822222
14,1.718306,1.732039,1.704572,0.000189,1.896296
15,1.777218,1.791797,1.762639,0.000213,1.970370
16,1.831038,1.846413,1.815664,0.000236,2.029630
17,1.880208,1.896329,1.864087,0.000260,2.074074
18,1.925128,1.941948,1.908308,0.000283,2.103704
19,1.966166,1.983640,1.948693,0.000305,2.177778
20,2.003658,2.021742,1.985574,0.000327,2.237037
21,2.037910,2.056562,2.019258,0.000348,2.266667
22,2.084017,2.103198,2.064835,0.000368,2.296296
23,2.111324,2.131026,2.091622,0.000388,2.325926
24,2.136271,2.156451,2.116091,0.000407,2.400000
25,2.159062,2.179680,2.138445,0.000425,2.400000
26,2.179884,2.200904,2.158864,0.000442,2.400000
27,2.213721,2.235111,2.192332,0.000458,2.414815
28,2.229820,2.251576,2.208063,0.000473,2.414815
29,2.244527,2.266615,2.222438,0.000488,2.414815
30,2.272777,2.295167,2.250388,0.000501,2.429630
31,2.283772,2.306462,2.261081,0.000515,2.429630
32,2.308631,2.331590,2.285672,0.000527,2.444444
33,2.316527,2.339753,2.293301,0.000539,2.444444
34,2.338556,2.362017,2.315094,0.000550,2.459259
35,2.343866,2.367563,2.320169,0.000562,2.459259
36,2.363532,2.387433,2.339631,0.000571,2.474074
37,2.366683,2.390789,2.342577,0.000581,2.474074
38,2.384377,2.408659,2.360096,0.000590,2.488889
39,2.400542,2.425001,2.376083,0.000598,2.533333
40,2.400495,2.425131,2.375860,0.000607,2.533333
41,2.415267,2.440050,2.390485,0.000614,2.548148
42,2.428763,2.453693,2.403832,0.000622,2.577778
43,2.441092,2.466170,2.416014,0.000629,2.592593
44,2.452356,2.477578,2.427133,0.000636,2.592593
45,2.462646,2.488008,2.437283,0.000643,2.607407
46,2.472047,2.497544,2.446549,0.000650,2.607407
47,2.465821,2.491447,2.440194,0.000657,2.607407
48,2.504577,2.530299,2.478854,0.000662,2.637037
49,2.510354,2.536226,2.484482,0.000669,2.651852
50,2.515632,2.541639,2.489625,0.000676,2.651852
51,2.520454,2.546582,2.494326,0.000683,2.651852
52,2.524859,2.551097,2.498622,0.000688,2.666667
53,2.543699,2.570035,2.517362,0.000694,2.681481
54,2.560910,2.587362,2.534458,0.000700,2.696296
55,2.561819,2.588398,2.535239,0.000706,2.696296
56,2.577464,2.604151,2.550777,0.000712,2.711111
57,2.591757,2.618561,2.564953,0.000718,2.725926
58,2.590001,2.616928,2.563073,0.000725,2.725926
59,2.603210,2.630237,2.576184,0.000730,2.755556
60,2.615279,2.642411,2.588146,0.000736,2.755556
61,2.611489,2.638732,2.584247,0.000742,2.740741
62,2.622842,2.650169,2.595515,0.000747,2.755556
63,2.633214,2.660631,2.605796,0.000752,2.770370
64,2.627874,2.655386,2.600362,0.000757,2.770370
65,2.637811,2.665391,2.610231,0.000761,2.770370
66,2.646889,2.674544,2.619234,0.000765,2.770370
67,2.640368,2.668101,2.612634,0.000769,2.770370
68,2.649225,2.677012,2.621437,0.000772,2.770370
69,2.672131,2.699979,2.644283,0.000776,2.785185
70,2.722688,2.750627,2.694749,0.000781,2.844444
71,2.768875,2.796981,2.740770,0.000790,2.888889
72,2.855516,2.883843,2.827188,0.000802,2.977778
73,2.979113,3.007784,2.950443,0.000822,3.096296
74,3.062400,3.091585,3.033214,0.000852,3.200000
75,3.257007,3.286774,3.227241,0.000886,3.422222
76,3.227389,3.258009,3.196769,0.000938,3.392593
77,3.496627,3.527885,3.465369,0.000977,3.703704
78,3.757412,3.789720,3.725105,0.001044,3.955556
79,4.040105,4.073792,4.006419,0.001135,4.237037
