Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.555556,0.555556,0.555556,0.000000,0.555556
11,0.435528,0.441529,0.429527,0.000036,0.555556
12,0.341433,0.348086,0.334779,0.000044,0.555556
13,0.823222,0.829611,0.816833,0.000041,1.111111
14,0.645365,0.655572,0.635159,0.000104,0.555556
15,0.505934,0.516548,0.495321,0.000113,0.555556
16,0.952183,0.962138,0.942228,0.000099,1.111111
17,0.746465,0.759377,0.733553,0.000167,1.111111
18,1.140747,1.153689,1.127805,0.000168,1.111111
19,0.894289,0.910252,0.878326,0.000255,1.111111
20,1.256634,1.272444,1.240824,0.000250,1.666667
21,0.985139,1.003522,0.966756,0.000338,1.111111
22,1.327856,1.345772,1.309940,0.000321,1.666667
23,1.596529,1.616605,1.576453,0.000403,1.666667
24,1.807156,1.830505,1.783806,0.000545,2.222222
25,1.972276,1.999039,1.945514,0.000716,2.222222
26,2.101723,2.131626,2.071820,0.000894,2.777778
27,2.203202,2.235838,2.170566,0.001065,2.777778
28,2.282757,2.317703,2.247812,0.001221,2.777778
29,2.345125,2.381986,2.308264,0.001359,2.777778
30,2.394017,2.432449,2.355586,0.001477,2.777778
31,2.432347,2.472055,2.392639,0.001577,2.777778
32,2.462396,2.503133,2.421658,0.001660,2.777778
33,2.485952,2.527518,2.444386,0.001728,2.777778
34,2.504419,2.546647,2.462192,0.001783,2.777778
35,2.518897,2.561652,2.476141,0.001828,2.777778
36,2.530246,2.573421,2.487071,0.001864,2.777778
37,2.539144,2.582651,2.495636,0.001893,2.777778
38,2.546119,2.589890,2.502347,0.001916,2.777778
39,2.551587,2.595566,2.507607,0.001934,2.777778
40,2.555874,2.600018,2.511730,0.001949,2.777778
41,2.559234,2.603508,2.514961,0.001960,2.777778
42,2.561869,2.606244,2.517493,0.001969,2.777778
43,2.563934,2.608390,2.519478,0.001976,2.777778
44,2.565553,2.610073,2.521034,0.001982,2.777778
45,2.566823,2.611392,2.522254,0.001986,2.777778
46,2.567818,2.612426,2.523210,0.001990,2.777778
47,2.568598,2.613236,2.523959,0.001993,2.777778
48,2.569209,2.613872,2.524547,0.001995,2.777778
49,2.569689,2.614370,2.525007,0.001996,2.777778
50,2.570065,2.614761,2.525368,0.001998,2.777778
51,2.570359,2.615067,2.525651,0.001999,2.777778
52,2.570590,2.615307,2.525873,0.002000,2.777778
53,2.570771,2.615496,2.526047,0.002000,2.777778
54,2.570913,2.615643,2.526184,0.002001,2.777778
55,2.571025,2.615759,2.526290,0.002001,2.777778
56,2.571112,2.615850,2.526374,0.002001,2.777778
57,2.571180,2.615921,2.526440,0.002002,2.777778
58,2.571234,2.615977,2.526491,0.002002,2.777778
59,2.571276,2.616020,2.526532,0.002002,2.777778
60,2.571309,2.616054,2.526563,0.002002,2.777778
61,2.571335,2.616081,2.526588,0.002002,2.777778
62,2.571355,2.616102,2.526608,0.002002,2.777778
63,2.571371,2.616119,2.526623,0.002002,2.777778
64,2.571383,2.616132,2.526635,0.002002,2.777778
65,2.571393,2.616142,2.526644,0.002002,2.777778
66,2.571401,2.616150,2.526652,0.002002,2.777778
67,2.571407,2.616156,2.526657,0.002003,2.777778
68,2.571412,2.616161,2.526662,0.002003,2.777778
69,2.571415,2.616165,2.526665,0.002003,2.777778
70,2.571418,2.616168,2.526668,0.002003,2.777778
71,2.571420,2.616170,2.526670,0.002003,2.777778
72,2.571422,2.616172,2.526672,0.002003,2.777778
73,2.571424,2.616174,2.526673,0.002003,2.777778
74,2.571425,2.616175,2.526675,0.002003,2.777778
75,2.608463,2.653213,2.563712,0.002003,2.814815
76,2.600461,2.645461,2.555462,0.002025,2.814815
77,2.594189,2.639287,2.549090,0.002034,2.814815
78,2.626309,2.671425,2.581192,0.002036,2.851852
79,2.058896,2.104241,2.013552,0.002056,2.296296
80,1.614073,1.656008,1.572138,0.001759,2.296296
81,1.265353,1.302569,1.228138,0.001385,1.703704
82,11.658641,11.690862,11.626420,0.001038,12.370370
83,19.806466,19.934916,19.678015,0.016500,21.333333
84,23.527291,23.763766,23.290816,0.055921,26.666667
85,21.110901,21.425492,20.796310,0.098968,24.000000
86,19.216571,19.552490,18.880651,0.112842,24.000000
87,15.064842,15.400186,14.729499,0.112455,21.333333
88,14.476759,14.785967,14.167552,0.095609,21.333333
89,11.349064,11.637555,11.060574,0.083227,18.666667
90,8.897106,9.154379,8.639833,0.066189,16.000000
91,9.641558,9.864994,9.418123,0.049924,16.000000
92,7.558506,7.762308,7.354703,0.041536,13.333333
93,5.925495,6.104935,5.746056,0.032199,10.666667
94,4.645296,4.799858,4.490733,0.023890,10.666667
95,3.641682,3.772842,3.510523,0.017203,8.000000
96,2.854899,2.965000,2.744799,0.012122,8.000000
97,2.238100,2.329765,2.146435,0.008403,5.333333
98,1.754560,1.830385,1.678734,0.005750,5.333333
99,1.375488,1.437886,1.313091,0.003893,5.333333
100,1.078315,1.129443,1.027187,0.002614,2.666667
101,0.845346,0.887089,0.803602,0.001743,2.666667
102,0.662709,0.696687,0.628731,0.001155,2.666667
103,0.519531,0.547116,0.491946,0.000761,2.666667
104,0.407287,0.429630,0.384943,0.000499,2.666667
105,0.319293,0.337355,0.301231,0.000326,0.000000
106,0.250310,0.264885,0.235735,0.000212,0.000000
107,0.196231,0.207973,0.184488,0.000138,0.000000
108,0.153835,0.163283,0.144388,0.000089,0.000000
