Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.011758,0.012346,0.011170,0.000000,0.000000
11,0.021338,0.022016,0.020661,0.000000,0.000000
12,0.029144,0.029821,0.028468,0.000000,0.000000
13,0.047263,0.048323,0.046203,0.000001,0.000000
14,0.062026,0.063162,0.060890,0.000001,0.063492
15,0.085813,0.087320,0.084306,0.000002,0.063492
16,0.146347,0.149614,0.143081,0.000011,0.126984
17,0.207430,0.211481,0.203378,0.000016,0.190476
18,0.193708,0.197842,0.189574,0.000017,0.126984
19,0.246020,0.250284,0.241755,0.000018,0.126984
20,0.329796,0.335239,0.324353,0.000030,0.349206
21,0.346324,0.352297,0.340351,0.000036,0.349206
22,0.411526,0.417384,0.405667,0.000034,0.412698
23,0.517563,0.524697,0.510429,0.000051,0.412698
24,0.540472,0.547715,0.533229,0.000052,0.349206
25,0.622630,0.629821,0.615439,0.000052,0.634921
26,0.520262,0.528643,0.511880,0.000070,0.476190
27,0.554428,0.562824,0.546033,0.000070,0.412698
28,0.792732,0.806472,0.778993,0.000189,0.761905
29,0.935172,0.950383,0.919961,0.000231,0.698413
30,0.933656,0.950251,0.917060,0.000275,0.698413
31,1.085271,1.102550,1.067993,0.000299,0.634921
32,1.272302,1.289205,1.255400,0.000286,0.634921
33,1.191894,1.209071,1.174716,0.000295,0.984127
34,1.370937,1.387553,1.354322,0.000276,0.984127
35,1.284021,1.300817,1.267224,0.000282,1.047619
36,1.551824,1.570971,1.532677,0.000367,1.333333
37,1.654808,1.679731,1.629885,0.000621,1.301587
38,1.886869,1.916174,1.857563,0.000859,1.460317
39,2.314638,2.348896,2.280381,0.001174,1.619048
40,2.558547,2.597025,2.520070,0.001481,1.904762
41,2.873690,2.914981,2.832398,0.001705,2.253968
42,3.172801,3.217379,3.128223,0.001987,2.317460
43,3.447091,3.494959,3.399223,0.002291,2.539683
44,4.050363,4.101676,3.999051,0.002633,3.269841
45,3.958732,4.013325,3.904140,0.002980,3.174603
46,4.499002,4.556569,4.441435,0.003314,3.555556
47,4.681727,4.741913,4.621541,0.003622,3.777778
48,4.883523,4.945973,4.821074,0.003900,4.000000
49,5.037368,5.101750,4.972987,0.004145,4.222222
50,5.267368,5.333383,5.201352,0.004358,4.507937
51,5.285462,5.352850,5.218075,0.004541,4.571429
52,5.248472,5.317006,5.179938,0.004697,4.571429
53,5.281824,5.351312,5.212335,0.004829,4.634921
54,5.257265,5.327545,5.186985,0.004939,4.634921
55,5.300746,5.371681,5.229812,0.005032,4.698413
56,5.220949,5.292424,5.149474,0.005109,4.634921
57,5.277034,5.349126,5.204942,0.005197,4.698413
58,5.207507,5.280047,5.134967,0.005262,4.634921
59,5.266082,5.338950,5.193214,0.005310,4.698413
60,5.198583,5.271694,5.125471,0.005345,4.634921
61,5.258810,5.332105,5.185515,0.005372,4.698413
62,5.198536,5.272141,5.124932,0.005418,4.666667
63,5.264651,5.338444,5.190858,0.005445,4.730159
64,5.203296,5.277199,5.129393,0.005462,4.666667
65,5.268529,5.342494,5.194564,0.005471,4.730159
66,5.301694,5.375691,5.227697,0.005475,4.761905
67,5.340475,5.414656,5.266294,0.005503,4.825397
68,5.377953,5.452218,5.303688,0.005515,4.857143
69,5.501377,5.576356,5.426399,0.005622,4.952381
70,5.365614,5.436563,5.294664,0.005034,4.730159
71,5.223246,5.288101,5.158390,0.004206,4.222222
72,5.067265,5.125287,5.009244,0.003366,4.222222
73,4.822592,4.873740,4.771445,0.002616,3.809524
74,5.340455,5.411584,5.269325,0.005059,4.063492
75,6.403216,6.506001,6.300431,0.010565,5.301587
76,7.585454,7.718642,7.452266,0.017739,6.412698
77,8.759223,8.917955,8.600492,0.025196,7.746032
78,9.826151,10.004772,9.647531,0.031905,8.984127
79,10.801320,10.994185,10.608455,0.037197,10.095238
80,11.567684,11.769874,11.365494,0.040881,10.825397
81,12.113351,12.320582,11.906120,0.042945,11.238095
82,12.541507,12.750418,12.332597,0.043643,11.746032
83,12.795138,13.002859,12.587417,0.043148,11.777778
84,12.960647,13.165072,12.756223,0.041789,11.904762
85,13.024960,13.224342,12.825578,0.039753,12.158730
86,12.957434,13.150641,12.764226,0.037329,12.000000
87,12.816580,13.002722,12.630439,0.034649,11.873016
88,12.572475,12.750997,12.393953,0.031870,11.746032
89,12.264227,12.434947,12.093507,0.029145,11.492063
90,11.891957,12.054756,11.729159,0.026503,10.920635
91,11.525134,11.680085,11.370182,0.024010,10.730159
92,11.111014,11.258449,10.963580,0.021737,10.412698
93,10.652478,10.792701,10.512256,0.019662,9.904762
94,10.342349,10.475633,10.209064,0.017765,9.650794
95,9.902702,10.029440,9.775963,0.016063,9.015873
96,9.593853,9.714482,9.473224,0.014551,8.539683
97,9.357484,9.472443,9.242525,0.013216,8.317460
98,9.070825,9.180530,8.961120,0.012035,8.063492
99,8.769055,8.873886,8.664225,0.010989,7.904762
100,8.454974,8.555266,8.354682,0.010059,7.460317
101,8.168486,8.264689,8.072283,0.009255,7.206349
102,7.878613,7.971059,7.786167,0.008546,6.888889
103,7.617729,7.706665,7.528794,0.007910,6.761905
104,7.328732,7.414498,7.242966,0.007356,6.349206
105,7.074440,7.157254,6.991626,0.006858,6.095238
106,6.828439,6.908594,6.748283,0.006425,5.841270
107,6.626817,6.704634,6.549000,0.006056,5.650794
108,6.498982,6.574617,6.423347,0.005721,5.523810
